ame	ncbi	ko	pathway	pathname
409608	XP_026302029			
409609	XP_393112	K03029	map03050	Proteasome
409609	XP_393112	K03029	map05010	Alzheimer disease
409609	XP_393112	K03029	map05012	Parkinson disease
409609	XP_393112	K03029	map05014	Amyotrophic lateral sclerosis
409609	XP_393112	K03029	map05016	Huntington disease
409609	XP_393112	K03029	map05017	Spinocerebellar ataxia
409609	XP_393112	K03029	map05020	Prion disease
409609	XP_393112	K03029	map05022	Pathways of neurodegeneration - multiple diseases
409609	XP_393112	K03029	map05169	Epstein-Barr virus infection
409610	XP_393113	K24024		
409611	XP_006563676	K06704	map04148	Efferocytosis
409611	XP_006563676	K06704	map04361	Axon regeneration
409611	XP_006563676	K06704	map05010	Alzheimer disease
409611	XP_006563676	K06704	map05120	Epithelial cell signaling in Helicobacter pylori infection
409613	XP_006563700	K07953	map04141	Protein processing in endoplasmic reticulum
409613	XP_006563700	K07953	map05134	Legionellosis
409614	XP_393116	K01047	map00564	Glycerophospholipid metabolism
409614	XP_393116	K01047	map00565	Ether lipid metabolism
409614	XP_393116	K01047	map00590	Arachidonic acid metabolism
409614	XP_393116	K01047	map00591	Linoleic acid metabolism
409614	XP_393116	K01047	map00592	alpha-Linolenic acid metabolism
409614	XP_393116	K01047	map01100	
409614	XP_393116	K01047	map01110	Biosynthesis of secondary metabolites
409614	XP_393116	K01047	map04014	Ras signaling pathway
409614	XP_393116	K01047	map04270	Vascular smooth muscle contraction
409614	XP_393116	K01047	map04972	Pancreatic secretion
409614	XP_393116	K01047	map04975	Fat digestion and absorption
409616	XP_006559510			
409617	XP_003250419	K12493	map04144	Endocytosis
409619	XP_016768511			
409620	XP_026295005	K20178	map04138	Autophagy - yeast
409620	XP_026295005	K20178	map04148	Efferocytosis
409622	XP_393124			
409624	XP_026297767	K01895	map00010	Glycolysis / Gluconeogenesis
409624	XP_026297767	K01895	map00620	Pyruvate metabolism
409624	XP_026297767	K01895	map00630	Glyoxylate and dicarboxylate metabolism
409624	XP_026297767	K01895	map00640	Propanoate metabolism
409624	XP_026297767	K01895	map00680	Methane metabolism
409624	XP_026297767	K01895	map00720	Other carbon fixation pathways
409624	XP_026297767	K01895	map01100	
409624	XP_026297767	K01895	map01110	Biosynthesis of secondary metabolites
409624	XP_026297767	K01895	map01120	Microbial metabolism in diverse environments
409624	XP_026297767	K01895	map01200	Carbon metabolism
409626	XP_393127	K01312	map04080	Neuroactive ligand-receptor interaction
409626	XP_393127	K01312	map04972	Pancreatic secretion
409626	XP_393127	K01312	map04974	Protein digestion and absorption
409626	XP_393127	K01312	map05164	Influenza A
409628	XP_006559728	K12349	map00600	Sphingolipid metabolism
409628	XP_006559728	K12349	map01100	
409628	XP_006559728	K12349	map04071	Sphingolipid signaling pathway
409631	XP_006562675	K13803	map04745	Phototransduction - fly
409633	XP_006561486			
409634	XP_006566733			
409636	XP_006566737	K27888		
409637	XP_393135	K02893	map03010	Ribosome
409637	XP_393135	K02893	map05171	Coronavirus disease - COVID-19
409638	XP_006559470	K10250	map00062	Fatty acid elongation
409638	XP_006559470	K10250	map01040	Biosynthesis of unsaturated fatty acids
409638	XP_006559470	K10250	map01100	
409638	XP_006559470	K10250	map01110	Biosynthesis of secondary metabolites
409638	XP_006559470	K10250	map01212	Fatty acid metabolism
409639	XP_393137	K27411		
409640	XP_006560541	K14209	map04138	Autophagy - yeast
409640	XP_006560541	K14209	map04974	Protein digestion and absorption
409642	XP_006563984			
409643	XP_006563987			
409645	XP_393143			
409646	XP_006570076	K13865		
409647	XP_006564407	K12878	map03013	Nucleocytoplasmic transport
409647	XP_006564407	K12878	map03040	Spliceosome
409648	XP_393146			
409649	XP_006566273			
409650	XP_016770061	K14356		
409653	XP_393151	K14415		
409655	XP_016772461	K06086	map03320	PPAR signaling pathway
409655	XP_016772461	K06086	map04520	Adherens junction
409655	XP_016772461	K06086	map04910	Insulin signaling pathway
409658	XP_016767287			
409659	XP_006567174	K14798		
409662	XP_006567190	K07199	map04068	FoxO signaling pathway
409662	XP_006567190	K07199	map04152	AMPK signaling pathway
409662	XP_006567190	K07199	map04211	Longevity regulating pathway
409662	XP_006567190	K07199	map04213	Longevity regulating pathway - multiple species
409662	XP_006567190	K07199	map04371	Apelin signaling pathway
409662	XP_006567190	K07199	map04530	Tight junction
409662	XP_006567190	K07199	map04710	Circadian rhythm
409662	XP_006567190	K07199	map04714	Thermogenesis
409662	XP_006567190	K07199	map04910	Insulin signaling pathway
409662	XP_006567190	K07199	map04920	Adipocytokine signaling pathway
409662	XP_006567190	K07199	map04921	Oxytocin signaling pathway
409662	XP_006567190	K07199	map04922	Glucagon signaling pathway
409662	XP_006567190	K07199	map04931	Insulin resistance
409662	XP_006567190	K07199	map04932	Non-alcoholic fatty liver disease
409662	XP_006567190	K07199	map04936	Alcoholic liver disease
409662	XP_006567190	K07199	map05410	Hypertrophic cardiomyopathy
409663	XP_393161			
409664	XP_006563480			
409665	XP_026301373			
409666	XP_006563474	K25167		
409667	XP_016772054	K15464	map04068	FoxO signaling pathway
409667	XP_016772054	K15464	map04137	Mitophagy - animal
409667	XP_016772054	K15464	map04140	Autophagy - animal
409667	XP_016772054	K15464	map05131	Shigellosis
409667	XP_016772054	K15464	map05134	Legionellosis
409668	XP_006561280	K06700	map03050	Proteasome
409670	XP_016769797	K14353		
409671	XP_006565611	K12864	map03040	Spliceosome
409672	XP_006565607	K13114	map03013	Nucleocytoplasmic transport
409672	XP_006565607	K13114	map03015	mRNA surveillance pathway
409673	XP_026299077	K02324	map03030	DNA replication
409673	XP_026299077	K02324	map03410	Base excision repair
409673	XP_026299077	K02324	map03420	Nucleotide excision repair
409674	XP_006561101			
409675	XP_006561354	K08770	map03320	PPAR signaling pathway
409675	XP_006561354	K08770	map04120	Ubiquitin mediated proteolysis
409675	XP_006561354	K08770	map04137	Mitophagy - animal
409675	XP_006561354	K08770	map04140	Autophagy - animal
409675	XP_006561354	K08770	map05012	Parkinson disease
409675	XP_006561354	K08770	map05022	Pathways of neurodegeneration - multiple diseases
409675	XP_006561354	K08770	map05131	Shigellosis
409675	XP_006561354	K08770	map05167	Kaposi sarcoma-associated herpesvirus infection
409676	XP_393174	K20196	map04814	Motor proteins
409677	NP_001035324	K14999		
409678	XP_016767946			
409680	XP_003250302	K24720		
409681	XP_006563710			
409682	XP_006563718	K00029	map00620	Pyruvate metabolism
409682	XP_006563718	K00029	map00710	Carbon fixation by Calvin cycle
409682	XP_006563718	K00029	map01100	
409682	XP_006563718	K00029	map01120	Microbial metabolism in diverse environments
409682	XP_006563718	K00029	map01200	Carbon metabolism
409682	XP_006563718	K00029	map03320	PPAR signaling pathway
409686	XP_026296340	K24734		
409688	XP_006557795	K14406	map03015	mRNA surveillance pathway
409689	XP_393186	K12662	map03040	Spliceosome
409690	XP_006570894			
409691	XP_006559877	K09598		
409692	XP_026298013	K06704	map04148	Efferocytosis
409692	XP_026298013	K06704	map04361	Axon regeneration
409692	XP_026298013	K06704	map05010	Alzheimer disease
409692	XP_026298013	K06704	map05120	Epithelial cell signaling in Helicobacter pylori infection
409693	XP_393191	K01092	map00521	Streptomycin biosynthesis
409693	XP_393191	K01092	map00562	Inositol phosphate metabolism
409693	XP_393191	K01092	map01100	
409693	XP_393191	K01092	map01110	Biosynthesis of secondary metabolites
409693	XP_393191	K01092	map04070	Phosphatidylinositol signaling system
409695	XP_026299539			
409696	XP_393194	K12840	map03040	Spliceosome
409697	NP_001229316	K04437	map04010	MAPK signaling pathway
409697	NP_001229316	K04437	map04510	Focal adhesion
409697	NP_001229316	K04437	map05132	Salmonella infection
409697	NP_001229316	K04437	map05205	Proteoglycans in cancer
409698	XP_393196	K08744	map00564	Glycerophospholipid metabolism
409698	XP_393196	K08744	map01100	
409699	NP_001229394	K03032	map03050	Proteasome
409699	NP_001229394	K03032	map05010	Alzheimer disease
409699	NP_001229394	K03032	map05012	Parkinson disease
409699	NP_001229394	K03032	map05014	Amyotrophic lateral sclerosis
409699	NP_001229394	K03032	map05016	Huntington disease
409699	NP_001229394	K03032	map05017	Spinocerebellar ataxia
409699	NP_001229394	K03032	map05020	Prion disease
409699	NP_001229394	K03032	map05022	Pathways of neurodegeneration - multiple diseases
409699	NP_001229394	K03032	map05169	Epstein-Barr virus infection
409701	XP_006568554			
409702	XP_026300923	K20401	map04150	mTOR signaling pathway
409703	XP_393201			
409704	XP_006571093	K14376	map03015	mRNA surveillance pathway
409706	XP_393204	K20316		
409707	XP_006570603			
409708	XP_006570610	K01201	map00511	Other glycan degradation
409708	XP_006570610	K01201	map00600	Sphingolipid metabolism
409708	XP_006570610	K01201	map01100	
409708	XP_006570610	K01201	map04142	Lysosome
409709	XP_393208	K01201	map00511	Other glycan degradation
409709	XP_393208	K01201	map00600	Sphingolipid metabolism
409709	XP_393208	K01201	map01100	
409709	XP_393208	K01201	map04142	Lysosome
409711	XP_016771821			
409712	XP_393211	K09478	map00071	Fatty acid degradation
409712	XP_393211	K09478	map00280	Valine, leucine and isoleucine degradation
409712	XP_393211	K09478	map01100	
409712	XP_393211	K09478	map01110	Biosynthesis of secondary metabolites
409712	XP_393211	K09478	map01212	Fatty acid metabolism
409713	XP_006563658	K18622		
409714	XP_006568105			
409715	XP_003251169	K10951	map04970	Salivary secretion
409715	XP_003251169	K10951	map04972	Pancreatic secretion
409715	XP_003251169	K10951	map05110	Vibrio cholerae infection
409716	NP_001167616			
409717	XP_006570163			
409718	XP_006570154	K12572	map03018	RNA degradation
409721	XP_393219			
409722	XP_026298172			
409723	XP_006560497	K02950	map03010	Ribosome
409724	XP_006570305	K12404	map04142	Lysosome
409725	XP_393223	K08266	map04136	Autophagy - other
409725	XP_393223	K08266	map04138	Autophagy - yeast
409725	XP_393223	K08266	map04140	Autophagy - animal
409725	XP_393223	K08266	map04150	mTOR signaling pathway
409725	XP_393223	K08266	map04151	PI3K-Akt signaling pathway
409725	XP_393223	K08266	map04714	Thermogenesis
409726	XP_393224	K04095		
409727	XP_006570301	K10393	map04361	Axon regeneration
409727	XP_006570301	K10393	map04814	Motor proteins
409728	XP_006570299	K02989	map03010	Ribosome
409728	XP_006570299	K02989	map05171	Coronavirus disease - COVID-19
409729	XP_016767587			
409733	XP_006569653	K09420	map04151	PI3K-Akt signaling pathway
409734	XP_006569661	K14306	map03013	Nucleocytoplasmic transport
409734	XP_006569661	K14306	map05014	Amyotrophic lateral sclerosis
409735	XP_393233	K03131	map03022	Basal transcription factors
409736	XP_006568110	K00140	map00280	Valine, leucine and isoleucine degradation
409736	XP_006568110	K00140	map00410	beta-Alanine metabolism
409736	XP_006568110	K00140	map00562	Inositol phosphate metabolism
409736	XP_006568110	K00140	map00640	Propanoate metabolism
409736	XP_006568110	K00140	map01100	
409736	XP_006568110	K00140	map01200	Carbon metabolism
409739	XP_393236			
409740	XP_393237			
409741	XP_016769562	K12462	map04722	Neurotrophin signaling pathway
409741	XP_016769562	K12462	map04962	Vasopressin-regulated water reabsorption
409743	XP_006566036	K26678		
409748	XP_016771899	K20123		
409749	XP_006565346	K15153		
409751	XP_006565013	K03103	map00010	Glycolysis / Gluconeogenesis
409751	XP_006565013	K03103	map00562	Inositol phosphate metabolism
409751	XP_006565013	K03103	map01100	
409752	XP_006565027			
409753	XP_026301020	K23047		
409755	XP_393249	K06275	map04510	Focal adhesion
409756	XP_006568643	K12196	map03250	Viral life cycle - HIV-1
409756	XP_006568643	K12196	map03272	Virion - Hepatitis viruses
409756	XP_006568643	K12196	map04144	Endocytosis
409756	XP_006568643	K12196	map04217	Necroptosis
409757	XP_006568649	K24982		
409759	XP_026299383	K01183	map00520	Amino sugar and nucleotide sugar metabolism
409759	XP_026299383	K01183	map01100	
409762	XP_623244			
409764	XP_006570451			
409765	XP_006570471	K11662	map03082	ATP-dependent chromatin remodeling
409766	XP_006570470	K12164		
409767	XP_006570473	K03097	map03008	Ribosome biogenesis in eukaryotes
409767	XP_006570473	K03097	map04064	NF-kappa B signaling pathway
409767	XP_006570473	K03097	map04137	Mitophagy - animal
409767	XP_006570473	K03097	map04139	Mitophagy - yeast
409767	XP_006570473	K03097	map04310	Wnt signaling pathway
409767	XP_006570473	K03097	map04520	Adherens junction
409767	XP_006570473	K03097	map04712	Circadian rhythm - plant
409767	XP_006570473	K03097	map05010	Alzheimer disease
409767	XP_006570473	K03097	map05020	Prion disease
409767	XP_006570473	K03097	map05022	Pathways of neurodegeneration - multiple diseases
409767	XP_006570473	K03097	map05162	Measles
409767	XP_006570473	K03097	map05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
409768	XP_006560223			
409769	XP_393262			
409770	XP_006563923	K16599		
409771	XP_006563924	K05323		
409773	XP_393266	K00121	map00010	Glycolysis / Gluconeogenesis
409773	XP_393266	K00121	map00071	Fatty acid degradation
409773	XP_393266	K00121	map00350	Tyrosine metabolism
409773	XP_393266	K00121	map00620	Pyruvate metabolism
409773	XP_393266	K00121	map00625	Chloroalkane and chloroalkene degradation
409773	XP_393266	K00121	map00626	Naphthalene degradation
409773	XP_393266	K00121	map00680	Methane metabolism
409773	XP_393266	K00121	map00830	Retinol metabolism
409773	XP_393266	K00121	map00980	Metabolism of xenobiotics by cytochrome P450
409773	XP_393266	K00121	map00982	Drug metabolism - cytochrome P450
409773	XP_393266	K00121	map01100	
409773	XP_393266	K00121	map01110	Biosynthesis of secondary metabolites
409773	XP_393266	K00121	map01120	Microbial metabolism in diverse environments
409773	XP_393266	K00121	map01200	Carbon metabolism
409773	XP_393266	K00121	map01220	Degradation of aromatic compounds
409773	XP_393266	K00121	map04936	Alcoholic liver disease
409774	XP_393267			
409776	XP_393269			
409777	XP_026301575	K05313		
409778	XP_006562276			
409779	NP_001027532	K23915		
409780	XP_026294885	K02177	map04320	Dorso-ventral axis formation
409781	XP_006561133			
409782	XP_006561126	K24341		
409783	XP_006562343			
409784	XP_016772726	K22762		
409786	XP_026297174	K23939		
409787	XP_026297201			
409788	XP_006567243	K25093		
409789	XP_016767229			
409790	XP_006567509	K20364		
409791	XP_393285	K04345	map01522	Endocrine resistance
409791	XP_393285	K04345	map04010	MAPK signaling pathway
409791	XP_393285	K04345	map04014	Ras signaling pathway
409791	XP_393285	K04345	map04020	Calcium signaling pathway
409791	XP_393285	K04345	map04024	cAMP signaling pathway
409791	XP_393285	K04345	map04062	Chemokine signaling pathway
409791	XP_393285	K04345	map04113	Meiosis - yeast
409791	XP_393285	K04345	map04114	Oocyte meiosis
409791	XP_393285	K04345	map04138	Autophagy - yeast
409791	XP_393285	K04345	map04140	Autophagy - animal
409791	XP_393285	K04345	map04211	Longevity regulating pathway
409791	XP_393285	K04345	map04213	Longevity regulating pathway - multiple species
409791	XP_393285	K04345	map04261	Adrenergic signaling in cardiomyocytes
409791	XP_393285	K04345	map04270	Vascular smooth muscle contraction
409791	XP_393285	K04345	map04310	Wnt signaling pathway
409791	XP_393285	K04345	map04340	Hedgehog signaling pathway
409791	XP_393285	K04345	map04341	Hedgehog signaling pathway - fly
409791	XP_393285	K04345	map04361	Axon regeneration
409791	XP_393285	K04345	map04371	Apelin signaling pathway
409791	XP_393285	K04345	map04530	Tight junction
409791	XP_393285	K04345	map04540	Gap junction
409791	XP_393285	K04345	map04611	Platelet activation
409791	XP_393285	K04345	map04713	Circadian entrainment
409791	XP_393285	K04345	map04714	Thermogenesis
409791	XP_393285	K04345	map04720	Long-term potentiation
409791	XP_393285	K04345	map04723	Retrograde endocannabinoid signaling
409791	XP_393285	K04345	map04724	Glutamatergic synapse
409791	XP_393285	K04345	map04725	Cholinergic synapse
409791	XP_393285	K04345	map04726	Serotonergic synapse
409791	XP_393285	K04345	map04727	GABAergic synapse
409791	XP_393285	K04345	map04728	Dopaminergic synapse
409791	XP_393285	K04345	map04740	Olfactory transduction
409791	XP_393285	K04345	map04742	Taste transduction
409791	XP_393285	K04345	map04750	Inflammatory mediator regulation of TRP channels
409791	XP_393285	K04345	map04910	Insulin signaling pathway
409791	XP_393285	K04345	map04911	Insulin secretion
409791	XP_393285	K04345	map04912	GnRH signaling pathway
409791	XP_393285	K04345	map04913	Ovarian steroidogenesis
409791	XP_393285	K04345	map04914	Progesterone-mediated oocyte maturation
409791	XP_393285	K04345	map04915	Estrogen signaling pathway
409791	XP_393285	K04345	map04916	Melanogenesis
409791	XP_393285	K04345	map04918	Thyroid hormone synthesis
409791	XP_393285	K04345	map04919	Thyroid hormone signaling pathway
409791	XP_393285	K04345	map04921	Oxytocin signaling pathway
409791	XP_393285	K04345	map04922	Glucagon signaling pathway
409791	XP_393285	K04345	map04923	Regulation of lipolysis in adipocytes
409791	XP_393285	K04345	map04924	Renin secretion
409791	XP_393285	K04345	map04925	Aldosterone synthesis and secretion
409791	XP_393285	K04345	map04926	Relaxin signaling pathway
409791	XP_393285	K04345	map04927	Cortisol synthesis and secretion
409791	XP_393285	K04345	map04928	Parathyroid hormone synthesis, secretion and action
409791	XP_393285	K04345	map04934	Cushing syndrome
409791	XP_393285	K04345	map04935	Growth hormone synthesis, secretion and action
409791	XP_393285	K04345	map04961	Endocrine and other factor-regulated calcium reabsorption
409791	XP_393285	K04345	map04962	Vasopressin-regulated water reabsorption
409791	XP_393285	K04345	map04970	Salivary secretion
409791	XP_393285	K04345	map04971	Gastric acid secretion
409791	XP_393285	K04345	map04976	Bile secretion
409791	XP_393285	K04345	map05012	Parkinson disease
409791	XP_393285	K04345	map05020	Prion disease
409791	XP_393285	K04345	map05030	Cocaine addiction
409791	XP_393285	K04345	map05031	Amphetamine addiction
409791	XP_393285	K04345	map05032	Morphine addiction
409791	XP_393285	K04345	map05034	Alcoholism
409791	XP_393285	K04345	map05110	Vibrio cholerae infection
409791	XP_393285	K04345	map05146	Amoebiasis
409791	XP_393285	K04345	map05163	Human cytomegalovirus infection
409791	XP_393285	K04345	map05165	Human papillomavirus infection
409791	XP_393285	K04345	map05166	Human T-cell leukemia virus 1 infection
409791	XP_393285	K04345	map05200	Pathways in cancer
409791	XP_393285	K04345	map05203	Viral carcinogenesis
409791	XP_393285	K04345	map05205	Proteoglycans in cancer
409791	XP_393285	K04345	map05207	Chemical carcinogenesis - receptor activation
409791	XP_393285	K04345	map05414	Dilated cardiomyopathy
409792	XP_006571199			
409793	XP_393287	K03943	map00190	Oxidative phosphorylation
409793	XP_393287	K03943	map01100	
409793	XP_393287	K03943	map04714	Thermogenesis
409793	XP_393287	K03943	map04723	Retrograde endocannabinoid signaling
409793	XP_393287	K03943	map04932	Non-alcoholic fatty liver disease
409793	XP_393287	K03943	map05010	Alzheimer disease
409793	XP_393287	K03943	map05012	Parkinson disease
409793	XP_393287	K03943	map05014	Amyotrophic lateral sclerosis
409793	XP_393287	K03943	map05016	Huntington disease
409793	XP_393287	K03943	map05020	Prion disease
409793	XP_393287	K03943	map05022	Pathways of neurodegeneration - multiple diseases
409793	XP_393287	K03943	map05208	Chemical carcinogenesis - reactive oxygen species
409793	XP_393287	K03943	map05415	Diabetic cardiomyopathy
409794	XP_016767194	K10578	map04120	Ubiquitin mediated proteolysis
409794	XP_016767194	K10578	map04141	Protein processing in endoplasmic reticulum
409794	XP_016767194	K10578	map05012	Parkinson disease
409794	XP_016767194	K10578	map05022	Pathways of neurodegeneration - multiple diseases
409795	XP_006566835	K11124	map03015	mRNA surveillance pathway
409796	XP_397589	K03245		
409798	NP_001011636	K08752	map03320	PPAR signaling pathway
409799	XP_393291	K11363		
409801	XP_393293			
409802	XP_393294	K02726	map03050	Proteasome
409802	XP_393294	K02726	map05010	Alzheimer disease
409802	XP_393294	K02726	map05012	Parkinson disease
409802	XP_393294	K02726	map05014	Amyotrophic lateral sclerosis
409802	XP_393294	K02726	map05016	Huntington disease
409802	XP_393294	K02726	map05017	Spinocerebellar ataxia
409802	XP_393294	K02726	map05020	Prion disease
409802	XP_393294	K02726	map05022	Pathways of neurodegeneration - multiple diseases
409804	XP_006561704	K06269	map03015	mRNA surveillance pathway
409804	XP_006561704	K06269	map04022	cGMP-PKG signaling pathway
409804	XP_006561704	K06269	map04024	cAMP signaling pathway
409804	XP_006561704	K06269	map04113	Meiosis - yeast
409804	XP_006561704	K06269	map04114	Oocyte meiosis
409804	XP_006561704	K06269	map04218	Cellular senescence
409804	XP_006561704	K06269	map04261	Adrenergic signaling in cardiomyocytes
409804	XP_006561704	K06269	map04270	Vascular smooth muscle contraction
409804	XP_006561704	K06269	map04390	Hippo signaling pathway
409804	XP_006561704	K06269	map04510	Focal adhesion
409804	XP_006561704	K06269	map04611	Platelet activation
409804	XP_006561704	K06269	map04720	Long-term potentiation
409804	XP_006561704	K06269	map04728	Dopaminergic synapse
409804	XP_006561704	K06269	map04750	Inflammatory mediator regulation of TRP channels
409804	XP_006561704	K06269	map04810	Regulation of actin cytoskeleton
409804	XP_006561704	K06269	map04910	Insulin signaling pathway
409804	XP_006561704	K06269	map04921	Oxytocin signaling pathway
409804	XP_006561704	K06269	map04931	Insulin resistance
409804	XP_006561704	K06269	map05031	Amphetamine addiction
409804	XP_006561704	K06269	map05034	Alcoholism
409804	XP_006561704	K06269	map05168	Herpes simplex virus 1 infection
409804	XP_006561704	K06269	map05205	Proteoglycans in cancer
409804	XP_006561704	K06269	map05415	Diabetic cardiomyopathy
409805	XP_006561705			
409806	XP_006559222	K13149		
409807	XP_016767358	K00934	map00330	Arginine and proline metabolism
409809	XP_393300	K09494		
409810	XP_006564163	K03351	map04110	Cell cycle
409810	XP_006564163	K03351	map04111	Cell cycle - yeast
409810	XP_006564163	K03351	map04113	Meiosis - yeast
409810	XP_006564163	K03351	map04114	Oocyte meiosis
409810	XP_006564163	K03351	map04120	Ubiquitin mediated proteolysis
409810	XP_006564163	K03351	map04914	Progesterone-mediated oocyte maturation
409810	XP_006564163	K03351	map05166	Human T-cell leukemia virus 1 infection
409814	XP_026298047	K01195	map00040	Pentose and glucuronate interconversions
409814	XP_026298047	K01195	map00053	Ascorbate and aldarate metabolism
409814	XP_026298047	K01195	map00531	Glycosaminoglycan degradation
409814	XP_026298047	K01195	map00860	Porphyrin metabolism
409814	XP_026298047	K01195	map00944	Flavone and flavonol biosynthesis
409814	XP_026298047	K01195	map00983	Drug metabolism - other enzymes
409814	XP_026298047	K01195	map01100	
409814	XP_026298047	K01195	map01110	Biosynthesis of secondary metabolites
409814	XP_026298047	K01195	map01240	Biosynthesis of cofactors
409814	XP_026298047	K01195	map04142	Lysosome
409816	XP_393307	K25701		
409817	NP_001035325	K06767		
409818	XP_026296729	K05849	map04020	Calcium signaling pathway
409818	XP_026296729	K05849	map04022	cGMP-PKG signaling pathway
409818	XP_026296729	K05849	map04260	Cardiac muscle contraction
409818	XP_026296729	K05849	map04261	Adrenergic signaling in cardiomyocytes
409818	XP_026296729	K05849	map04371	Apelin signaling pathway
409818	XP_026296729	K05849	map04740	Olfactory transduction
409818	XP_026296729	K05849	map04961	Endocrine and other factor-regulated calcium reabsorption
409818	XP_026296729	K05849	map04974	Protein digestion and absorption
409818	XP_026296729	K05849	map04978	Mineral absorption
409818	XP_026296729	K05849	map05410	Hypertrophic cardiomyopathy
409818	XP_026296729	K05849	map05412	Arrhythmogenic right ventricular cardiomyopathy
409818	XP_026296729	K05849	map05414	Dilated cardiomyopathy
409819	XP_393310			
409820	XP_006568815	K24350		
409821	XP_026294641			
409822	XP_393312	K09090		
409825	XP_393315	K09497		
409826	XP_006559394			
409827	XP_006559396			
409829	XP_006559398	K10268		
409831	XP_026299984	K02738	map03050	Proteasome
409831	XP_026299984	K02738	map05010	Alzheimer disease
409831	XP_026299984	K02738	map05012	Parkinson disease
409831	XP_026299984	K02738	map05014	Amyotrophic lateral sclerosis
409831	XP_026299984	K02738	map05016	Huntington disease
409831	XP_026299984	K02738	map05017	Spinocerebellar ataxia
409831	XP_026299984	K02738	map05020	Prion disease
409831	XP_026299984	K02738	map05022	Pathways of neurodegeneration - multiple diseases
409832	XP_393322	K02882	map03010	Ribosome
409832	XP_393322	K02882	map05171	Coronavirus disease - COVID-19
409833	XP_393324	K02493		
409835	XP_393326	K10657		
409836	XP_006559546	K20655		
409838	XP_016770422	K14079		
409839	XP_006566741	K14326	map03013	Nucleocytoplasmic transport
409839	XP_006566741	K14326	map03015	mRNA surveillance pathway
409841	XP_006571914	K14015	map04141	Protein processing in endoplasmic reticulum
409842	XP_006559119	K15030		
409843	XP_006569857	K17751	map04022	cGMP-PKG signaling pathway
409843	XP_006569857	K17751	map04260	Cardiac muscle contraction
409843	XP_006569857	K17751	map04261	Adrenergic signaling in cardiomyocytes
409843	XP_006569857	K17751	map04814	Motor proteins
409843	XP_006569857	K17751	map04820	Cytoskeleton in muscle cells
409843	XP_006569857	K17751	map04919	Thyroid hormone signaling pathway
409843	XP_006569857	K17751	map05410	Hypertrophic cardiomyopathy
409843	XP_006569857	K17751	map05414	Dilated cardiomyopathy
409843	XP_006569857	K17751	map05416	Viral myocarditis
409845	XP_003249178	K04911		
409846	XP_393336	K01951	map00230	Purine metabolism
409846	XP_393336	K01951	map00983	Drug metabolism - other enzymes
409846	XP_393336	K01951	map01100	
409846	XP_393336	K01951	map01232	Nucleotide metabolism
409847	XP_006560177	K00069	map00590	Arachidonic acid metabolism
409847	XP_006560177	K00069	map05202	Transcriptional misregulation in cancer
409849	XP_006560181	K06491	map03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus
409849	XP_006560181	K06491	map04514	Cell adhesion molecules
409849	XP_006560181	K06491	map05020	Prion disease
409851	XP_026297448	K12562	map04144	Endocytosis
409851	XP_026297448	K12562	map04666	Fc gamma R-mediated phagocytosis
409852	XP_393342			
409854	XP_006557749	K09276		
409856	XP_016766829	K06277	map04015	Rap1 signaling pathway
409856	XP_016766829	K06277	map04510	Focal adhesion
409856	XP_016766829	K06277	map04722	Neurotrophin signaling pathway
409856	XP_016766829	K06277	map04910	Insulin signaling pathway
409856	XP_016766829	K06277	map05211	Renal cell carcinoma
409857	XP_393347	K14568	map03008	Ribosome biogenesis in eukaryotes
409859	XP_006570073	K10727	map04110	Cell cycle
409860	XP_006570065	K05288	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
409860	XP_006570065	K05288	map01100	
409861	XP_393351	K00940	map00230	Purine metabolism
409861	XP_393351	K00940	map00240	Pyrimidine metabolism
409861	XP_393351	K00940	map00983	Drug metabolism - other enzymes
409861	XP_393351	K00940	map01100	
409861	XP_393351	K00940	map01110	Biosynthesis of secondary metabolites
409861	XP_393351	K00940	map01232	Nucleotide metabolism
409861	XP_393351	K00940	map01240	Biosynthesis of cofactors
409861	XP_393351	K00940	map04016	MAPK signaling pathway - plant
409862	XP_393352	K12891	map03040	Spliceosome
409862	XP_393352	K12891	map05168	Herpes simplex virus 1 infection
409863	XP_393353	K07890		
409865	XP_006560996	K24069		
409866	XP_393356	K13025	map03013	Nucleocytoplasmic transport
409866	XP_393356	K13025	map03015	mRNA surveillance pathway
409866	XP_393356	K13025	map03040	Spliceosome
409867	XP_393357	K23972	map04668	TNF signaling pathway
409869	XP_026299048	K17914	map04814	Motor proteins
409870	XP_006570364	K09595		
409871	XP_006565976	K11274		
409872	XP_006560930			
409873	NP_001019868			
409876	XP_393365	K22383		
409877	XP_006566701			
409880	XP_393370	K03035	map03050	Proteasome
409880	XP_393370	K03035	map05010	Alzheimer disease
409880	XP_393370	K03035	map05012	Parkinson disease
409880	XP_393370	K03035	map05014	Amyotrophic lateral sclerosis
409880	XP_393370	K03035	map05016	Huntington disease
409880	XP_393370	K03035	map05017	Spinocerebellar ataxia
409880	XP_393370	K03035	map05020	Prion disease
409880	XP_393370	K03035	map05022	Pathways of neurodegeneration - multiple diseases
409880	XP_393370	K03035	map05169	Epstein-Barr virus infection
409881	XP_006558384			
409882	XP_016767661			
409883	XP_393373	K12825	map03040	Spliceosome
