ame	ncbi	ko	amepathway	amepathname
102654122	XP_006565476			
102654127	XP_006567699	K27819		
102654146	XP_006572092			
102654158	XP_006561944			
102654159	XP_026297064	K19374		
102654160	XP_026300780			
102654161	XP_006566551			
102654165	XP_006558573	K17599		
102654166	XP_026299363			
102654169	XP_016766948	K03955	ame00190	Oxidative phosphorylation - Apis mellifera (honey bee)
102654169	XP_016766948	K03955	ame01100	
102654173	XP_006568307	K10339		
102654175	XP_026300352			
102654183	XP_026300228	K22984		
102654184	XP_006560864			
102654186	XP_006567770	K03364	ame04120	Ubiquitin mediated proteolysis - Apis mellifera (honey bee)
102654192	XP_006557880	K19384		
102654206	XP_006560097			
102654211	XP_006562277	K00507	ame01040	Biosynthesis of unsaturated fatty acids - Apis mellifera (honey bee)
102654211	XP_006562277	K00507	ame01100	
102654211	XP_006562277	K00507	ame01212	Fatty acid metabolism - Apis mellifera (honey bee)
102654212	XP_006563925			
102654216	XP_006571977	K22984		
102654242	XP_026299130			
102654245	XP_026294938			
102654246	XP_006561945			
102654257	XP_006571771			
102654261	XP_006561079	K17808		
102654268	XP_006557769	K25474		
102654271	XP_006558732			
102654281	XP_006557334			
102654282	XP_006557511			
102654286	XP_016770129			
102654289	XP_026301561			
102654309	XP_026294927			
102654312	XP_006558733	K06961		
102654313	XP_026300479			
102654315	XP_006560308			
102654331	XP_026295458	K16601		
102654344	XP_026297181			
102654345	XP_006562042	K26186		
102654349	XP_026299076			
102654353	XP_006571382	K14464	ame00513	Various types of N-glycan biosynthesis - Apis mellifera (honey bee)
102654353	XP_006571382	K14464	ame01100	
102654355	XP_006572095			
102654365	XP_026297130	K02434	ame00970	Aminoacyl-tRNA biosynthesis - Apis mellifera (honey bee)
102654365	XP_026297130	K02434	ame01100	
102654366	XP_026297322	K00939	ame00230	Purine metabolism - Apis mellifera (honey bee)
102654366	XP_026297322	K00939	ame00730	Thiamine metabolism - Apis mellifera (honey bee)
102654366	XP_026297322	K00939	ame01100	
102654366	XP_026297322	K00939	ame01232	Nucleotide metabolism - Apis mellifera (honey bee)
102654366	XP_026297322	K00939	ame01240	Biosynthesis of cofactors - Apis mellifera (honey bee)
102654368	XP_026301733			
102654369	XP_006557512	K18733		
102654371	XP_006559491			
102654379	XP_006570318	K22830		
102654380	XP_016773450			
102654384	XP_006561138			
102654393	XP_006559009			
102654395	XP_006560694	K09228		
102654398	XP_006561986	K10886	ame03450	Non-homologous end-joining - Apis mellifera (honey bee)
102654405	XP_006570633			
102654408	XP_006557939			
102654426	XP_006561192	K02883	ame03010	Ribosome - Apis mellifera (honey bee)
102654427	XP_006565020			
102654435	XP_006558298			
102654436	XP_006558908			
102654448	XP_026300382			
102654452	XP_026294942	K22984		
102654461	XP_026301652			
102654465	XP_026295913	K15980		
102654470	XP_026296502			
102654481	XP_006563377			
102654482	XP_006564214			
102654488	XP_026295441	K13348	ame04146	Peroxisome - Apis mellifera (honey bee)
102654495	XP_026297693			
102654496	XP_006571776	K14686		
102654510	XP_026296455			
102654517	XP_006561083			
102654520	XP_016772606			
102654530	XP_006557709	K22984		
102654533	XP_006558800			
102654534	XP_006560103			
102654541	XP_006567534			
102654542	XP_026296671			
102654555	XP_006568633			
102654567	XP_006567707			
102654576	XP_006557710			
102654579	XP_026298449			
102654580	XP_006562706	K07295		
102654585	XP_006567535			
102654592	XP_026297712			
102654594	XP_006559868	K14829		
102654597	XP_026301505			
102654608	XP_006560384			
102654609	XP_026299456			
102654610	XP_026301507	K01816	ame00630	Glyoxylate and dicarboxylate metabolism - Apis mellifera (honey bee)
102654610	XP_026301507	K01816	ame01100	
102654621	XP_006560104			
102654626	XP_006565482	K08883		
102654640	XP_006563163	K06176		
102654641	XP_026298207			
102654652	XP_016772089			
102654653	XP_006565931	K01464	ame00240	Pyrimidine metabolism - Apis mellifera (honey bee)
102654653	XP_006565931	K01464	ame00410	beta-Alanine metabolism - Apis mellifera (honey bee)
102654653	XP_006565931	K01464	ame00770	Pantothenate and CoA biosynthesis - Apis mellifera (honey bee)
102654653	XP_006565931	K01464	ame00983	Drug metabolism - other enzymes - Apis mellifera (honey bee)
102654653	XP_006565931	K01464	ame01100	
102654660	XP_006560105			
102654676	XP_026300848			
102654681	XP_026301949	K09648	ame03060	Protein export - Apis mellifera (honey bee)
102654682	XP_026295501	K11830		
102654683	XP_006572097	K00787	ame00900	Terpenoid backbone biosynthesis - Apis mellifera (honey bee)
102654683	XP_006572097	K00787	ame01100	
102654685	XP_006557713			
102654691	XP_006561629	K03113		
102654696	XP_006566030			
102654708	XP_026301246	K11313		
102654712	XP_006566560			
102654715	XP_006567782			
102654726	XP_016766513			
102654729	XP_006557714			
102654736	XP_006562777	K09228		
102654737	XP_006563707	K01462		
102654740	XP_026296845	K24254		
102654745	XP_006558738			
102654746	XP_006558979	K25450		
102654758	XP_006558243			
102654763	XP_016767203			
102654766	XP_026295419			
102654768	XP_026301405	K15031		
102654773	XP_006562778			
102654776	XP_006565439	K08031		
102654777	XP_006565539	K08202		
102654781	XP_026298823			
102654782	XP_026300513	K22984		
102654783	XP_026300708			
102654791	XP_016769616	K24630		
102654795	XP_016769639			
102654799	XP_026302097			
102654800	XP_006571987			
102654804	XP_006558685			
102654839	XP_006563020			
102654841	XP_006564341	K22984		
102654858	XP_006562780			
102654860	XP_006565441			
102654867	XP_026300118	K06237	ame04512	ECM-receptor interaction - Apis mellifera (honey bee)
102654867	XP_026300118	K06237	ame04820	Cytoskeleton in muscle cells - Apis mellifera (honey bee)
102654871	XP_006571897	K17823		
102654874	XP_006561891			
102654878	XP_026297484	K22984		
102654889	XP_006562781			
102654890	XP_006563093	K23398		
102654894	XP_026301841	K13149		
102654897	XP_006560111			
102654905	XP_006568264			
102654906	XP_026301777	K08471		
102654911	XP_006562334			
102654919	XP_006558513	K06692		
102654920	XP_006560462	K22563		
102654925	XP_006563575			
102654930	XP_006570030			
102654936	XP_006565268			
102654949	XP_016767348			
102654952	XP_006572051	K01052	ame00100	Steroid biosynthesis - Apis mellifera (honey bee)
102654952	XP_006572051	K01052	ame04142	Lysosome - Apis mellifera (honey bee)
102654952	XP_006572051	K01052	ame04148	Efferocytosis - Apis mellifera (honey bee)
102654955	XP_006559199	K02127	ame00190	Oxidative phosphorylation - Apis mellifera (honey bee)
102654955	XP_006559199	K02127	ame01100	
102654959	XP_006566924			
102654964	XP_006558588			
102654965	XP_016767258			
102654968	XP_006565269			
102654970	NP_001314881			
102654975	XP_006562717	K27896		
102654986	XP_026300616			
102654987	XP_006564273	K07874	ame04140	Autophagy - animal - Apis mellifera (honey bee)
102654993	XP_016767788			
102654994	XP_026296676			
102655008	XP_026294935	K25458		
102655009	XP_006557839			
102655030	XP_026299504	K23335		
102655031	XP_006562962			
102655034	XP_006571336	K23837		
102655047	XP_016769365			
102655050	XP_026295161			
102655054	XP_006560463	K18078		
102655057	XP_026298319			
102655058	XP_006563711			
102655072	XP_006568318			
102655073	XP_006570863	K11254		
102655078	XP_006559381			
102655090	XP_006570271			
102655092	XP_006557596			
102655097	XP_006563262			
102655100	XP_026294898	K16765		
102655102	XP_016770854			
102655107	XP_006558641			
102655111	XP_006564161			
102655112	XP_026296453	K04599		
102655120	XP_026298544	K08704		
102655124	XP_026295828	K09228		
102655126	XP_026301232	K11377		
102655127	XP_006564545	K17710		
102655130	XP_026297152			
102655131	XP_026300909	K09223		
102655134	XP_026296626			
102655138	XP_006563822	K10657		
102655139	XP_006564219			
102655141	XP_016769957	K19828		
102655147	XP_016770788	K22984		
102655148	XP_026296670			
102655153	XP_006562396	K14258		
102655156	XP_016770119			
102655168	XP_026296715			
102655180	XP_016770780	K22984		
102655185	XP_006560325			
102655188	XP_016769366			
102655189	XP_016766912	K25614		
102655202	XP_006571789			
102655203	XP_006571904	K15901		
102655213	XP_006565446			
102655217	XP_006570273	K11368		
102655218	XP_026294841	K22984		
102655219	XP_006572304	K07542	ame00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Apis mellifera (honey bee)
102655219	XP_006572304	K07542	ame01100	
102655220	XP_006572449			
102655228	XP_006562787			
102655229	XP_026300935			
102655238	XP_006562545			
102655240	XP_006564277	K15441		
102655243	XP_016772171			
102655244	XP_026298456	K11424	ame00310	Lysine degradation - Apis mellifera (honey bee)
102655244	XP_026298456	K11424	ame01100	
102655247	XP_026300969			
102655249	XP_026302061	K25533		
102655259	XP_006568521	K21970		
102655263	XP_026299811	K15117		
102655268	XP_006557897			
102655272	XP_006562448	K12845	ame03008	Ribosome biogenesis in eukaryotes - Apis mellifera (honey bee)
102655272	XP_006562448	K12845	ame03040	Spliceosome - Apis mellifera (honey bee)
102655282	XP_016766807	K24253		
102655284	XP_006570730	K01875	ame00970	Aminoacyl-tRNA biosynthesis - Apis mellifera (honey bee)
102655285	XP_026294837	K22984		
102655287	XP_026295775			
102655306	XP_006561098			
102655319	XP_026298621			
102655329	XP_006566156	K16197	ame04013	MAPK signaling pathway - fly - Apis mellifera (honey bee)
102655329	XP_006566156	K16197	ame04391	Hippo signaling pathway - fly - Apis mellifera (honey bee)
102655332	XP_006559876	K16056		
102655352	XP_006563773			
102655353	XP_026299475			
102655356	XP_006570731			
102655357	XP_026298577			
102655367	XP_006565941	K22984		
102655388	XP_026302294	K14014	ame04141	Protein processing in endoplasmic reticulum - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame00010	Glycolysis / Gluconeogenesis - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame00020	Citrate cycle (TCA cycle) - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame00260	Glycine, serine and threonine metabolism - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame00280	Valine, leucine and isoleucine degradation - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame00310	Lysine degradation - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame00380	Tryptophan metabolism - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame00620	Pyruvate metabolism - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame00630	Glyoxylate and dicarboxylate metabolism - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame00640	Propanoate metabolism - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame00670	One carbon pool by folate - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame00785	Lipoic acid metabolism - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame01100	
102655391	XP_026300751	K00382	ame01200	Carbon metabolism - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame01210	2-Oxocarboxylic acid metabolism - Apis mellifera (honey bee)
102655391	XP_026300751	K00382	ame01240	Biosynthesis of cofactors - Apis mellifera (honey bee)
102655392	XP_006563942			
102655399	XP_006568583	K11878		
102655407	XP_026299464	K12823	ame03040	Spliceosome - Apis mellifera (honey bee)
102655411	XP_016770755	K18665		
102655420	XP_006566279	K23203		
102655422	XP_026301633			
102655429	XP_016769648			
102655434	XP_006565943	K22984		
102655435	XP_016773537	K22984		
102655436	XP_026300238			
102655440	XP_026299452			
102655446	XP_006561322			
102655449	XP_026300587			
102655452	XP_006567237	K22069		
102655457	XP_006561050			
102655461	XP_006563527			
102655463	XP_006564790			
102655466	XP_016767094	K07951		
102655469	XP_026301635			
102655470	XP_006572362	K23907		
102655476	XP_006561967			
102655479	XP_006565624	K17554		
102655493	XP_026302060			
102655495	XP_006557952			
102655503	XP_026295825			
102655512	XP_026298628			
102655520	XP_006561051			
102655521	XP_026299080			
102655523	XP_026299469	K26674		
102655530	XP_006571195			
102655538	XP_026301506			
102655540	XP_006563344	K18183		
102655553	XP_006565945	K22984		
102655559	XP_016766484	K22984		
102655563	XP_006564853			
102655564	XP_016770818			
102655585	XP_006563594			
102655592	XP_006567241	K23731		
102655603	XP_006559710	K20349		
102655612	XP_026298995	K15429		
102655617	XP_006557796	K14527	ame03008	Ribosome biogenesis in eukaryotes - Apis mellifera (honey bee)
102655618	XP_026301310	K03240		
102655622	XP_016767291			
102655631	XP_026300233			
102655636	XP_006571524			
102655639	XP_006560829			
102655648	XP_026298996	K00953	ame00740	Riboflavin metabolism - Apis mellifera (honey bee)
102655648	XP_026298996	K00953	ame01100	
102655648	XP_026298996	K00953	ame01240	Biosynthesis of cofactors - Apis mellifera (honey bee)
102655654	XP_026302045	K14209		
102655661	XP_006567733			
102655663	XP_016773569	K08471		
102655670	XP_026301284			
102655673	XP_006563595	K17805		
102655679	XP_006570793	K03024	ame03020	RNA polymerase - Apis mellifera (honey bee)
102655688	XP_006566648	K03850	ame00510	N-Glycan biosynthesis - Apis mellifera (honey bee)
102655688	XP_006566648	K03850	ame01100	
102655689	XP_026298171			
102655690	XP_026298041			
102655697	XP_006562671			
102655706	XP_006558825			
102655709	XP_006561056			
102655710	XP_006562348			
102655712	XP_026299154			
102655737	XP_006563193	K27892		
102655740	XP_006567371	K11518	ame04137	Mitophagy - animal - Apis mellifera (honey bee)
102655754	XP_006562554	K01689	ame00010	Glycolysis / Gluconeogenesis - Apis mellifera (honey bee)
102655754	XP_006562554	K01689	ame01100	
102655754	XP_006562554	K01689	ame01200	Carbon metabolism - Apis mellifera (honey bee)
102655754	XP_006562554	K01689	ame01230	Biosynthesis of amino acids - Apis mellifera (honey bee)
102655754	XP_006562554	K01689	ame03018	RNA degradation - Apis mellifera (honey bee)
102655754	XP_006562554	K01689	ame04820	Cytoskeleton in muscle cells - Apis mellifera (honey bee)
102655756	XP_006566230			
102655762	XP_016772311			
102655764	XP_006563720			
102655765	XP_026299155			
102655778	XP_016773304	K21594		
102655783	XP_026298157			
102655788	XP_006557955			
102655796	XP_016767412	K15630		
102655798	XP_006563533	K13051	ame00250	Alanine, aspartate and glutamate metabolism - Apis mellifera (honey bee)
102655798	XP_006563533	K13051	ame01100	
102655810	XP_006561107			
102655811	XP_006563350			
102655814	XP_026297681	K07852		
102655815	XP_006565783			
102655819	XP_006571805			
102655824	XP_006565223	K24875		
102655825	XP_006565947	K22984		
102655836	XP_006559584	K03256		
102655838	XP_006560668			
102655841	XP_006564118			
102655844	XP_006565784			
102655857	XP_006565948	K22984		
102655858	XP_006569517			
102655859	XP_006557363			
102655877	XP_006559585	K00734	ame00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Apis mellifera (honey bee)
102655877	XP_006559585	K00734	ame00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Apis mellifera (honey bee)
102655877	XP_006559585	K00734	ame01100	
102655879	XP_016771976	K10397	ame04814	Motor proteins - Apis mellifera (honey bee)
102655882	XP_026302115			
102655889	XP_026297169			
102655890	XP_006561718			
102655896	XP_006570876	K11278		
102655897	XP_016772901			
102655898	XP_006560669	K05286	ame00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Apis mellifera (honey bee)
102655898	XP_006560669	K05286	ame01100	
102655899	XP_006561057			
102655904	XP_006564233	K03016	ame03020	RNA polymerase - Apis mellifera (honey bee)
102655904	XP_006564233	K03016	ame03420	Nucleotide excision repair - Apis mellifera (honey bee)
102655905	XP_026295866			
102655922	XP_026300246			
102655924	XP_006566234			
102655928	XP_006561457			
102655942	XP_006560670	K22867		
102655945	XP_006561659			
102655948	XP_026299800	K03859	ame00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Apis mellifera (honey bee)
102655948	XP_026299800	K03859	ame01100	
102655950	XP_016766618	K06664	ame04146	Peroxisome - Apis mellifera (honey bee)
102655953	XP_026297179			
102655970	XP_006567377	K00417	ame00190	Oxidative phosphorylation - Apis mellifera (honey bee)
102655970	XP_006567377	K00417	ame01100	
102655971	XP_006568214			
102655979	XP_006565786			
102655980	XP_016770292			
102655983	XP_026299753	K14708		
102655994	XP_026300892	K27803		
102656006	XP_006561837	K20187		
102656008	XP_006566168	K08709		
102656021	XP_006567812	K11800		
102656027	XP_026296610			
102656029	XP_016772376	K09349		
102656037	XP_026302103			
102656055	XP_026301747			
102656061	XP_006558377			
102656070	XP_006557736			
102656074	XP_006561768	K20721		
102656082	XP_026297197	K10402	ame04814	Motor proteins - Apis mellifera (honey bee)
102656085	XP_026301771			
102656088	XP_006558190	K05313		
102656093	XP_006568868	K14809		
102656101	XP_026298464			
102656107	XP_006566171	K17606	ame04136	Autophagy - other - Apis mellifera (honey bee)
102656107	XP_006566171	K17606	ame04140	Autophagy - animal - Apis mellifera (honey bee)
102656116	XP_006562922			
102656131	XP_006569392	K16750		
102656132	XP_016772965	K15078	ame03460	Fanconi anemia pathway - Apis mellifera (honey bee)
102656134	XP_006557964	K15127		
102656136	XP_006559044	K09550		
102656137	XP_006559218	K25178		
102656142	XP_006560615	K11579		
102656143	XP_006561114			
102656154	XP_006559592			
102656160	XP_006562304			
102656166	XP_026299764			
102656170	XP_006558378	K09083		
102656183	XP_006558545	K02503		
102656186	XP_016772200			
102656190	XP_016766789			
102656197	XP_026301206	K10992		
102656198	XP_016769452			
102656199	XP_016767959	K17656		
102656215	XP_006564616	K09008		
102656216	XP_026294759			
102656221	XP_026296276	K22984		
102656224	XP_016773480			
102656231	XP_006561064			
102656244	XP_006560144			
102656245	XP_026296658			
102656247	XP_006564298			
102656248	XP_006564679			
102656249	XP_006567926	K15189		
102656258	XP_006559467	K14284	ame03008	Ribosome biogenesis in eukaryotes - Apis mellifera (honey bee)
102656258	XP_006559467	K14284	ame03013	Nucleocytoplasmic transport - Apis mellifera (honey bee)
102656258	XP_006559467	K14284	ame03015	mRNA surveillance pathway - Apis mellifera (honey bee)
102656263	XP_006563787	K05954	ame00900	Terpenoid backbone biosynthesis - Apis mellifera (honey bee)
102656271	XP_026300419	K22984		
102656283	XP_006568669	K20027		
102656287	XP_006570296	K19385		
102656291	XP_006560617	K23543		
102656294	XP_006564680			
102656311	XP_001122103	K10425	ame04814	Motor proteins - Apis mellifera (honey bee)
102656321	XP_026301776	K08471		
102656326	XP_026296754	K26675		
102656334	XP_026295429			
102656337	XP_006566060	K02537		
102656349	XP_026301570			
102656354	XP_016772082			
102656356	XP_016769727	K24645		
102656360	XP_026302090			
102656369	XP_026298144			
102656371	XP_006562263			
102656384	XP_016766916	K14165		
102656395	XP_006562019			
102656397	XP_016772228			
102656398	XP_016769348			
102656403	XP_016772665			
102656425	XP_006565002	K23886		
102656429	XP_016768966	K22984		
102656433	XP_006560491			
102656439	XP_006562812	K19572	ame00230	Purine metabolism - Apis mellifera (honey bee)
102656439	XP_006562812	K19572	ame01100	
102656439	XP_006562812	K19572	ame01232	Nucleotide metabolism - Apis mellifera (honey bee)
102656442	XP_026295519	K12832	ame03040	Spliceosome - Apis mellifera (honey bee)
102656444	XP_006566002			
102656448	XP_006558427	K00006	ame00564	Glycerophospholipid metabolism - Apis mellifera (honey bee)
102656452	XP_006565110			
102656461	XP_006559000			
102656464	XP_006567819			
102656465	XP_026298563	K04534		
102656473	XP_006565232			
102656479	XP_006571878			
102656485	XP_016771535			
102656489	XP_016773095			
102656490	XP_006569020			
102656491	XP_006570178	K12946	ame03060	Protein export - Apis mellifera (honey bee)
102656492	XP_026298452	K24224		
102656497	XP_006561853			
102656501	XP_006567879	K09228		
102656504	XP_006559116	K00894	ame00564	Glycerophospholipid metabolism - Apis mellifera (honey bee)
102656504	XP_006559116	K00894	ame01100	
102656505	XP_006559342			
102656529	XP_026298281			
102656541	XP_016769009			
102656548	XP_026297735	K20790		
102656552	XP_006563609			
102656554	XP_026301416			
102656560	XP_016769705			
102656567	XP_026298750	K22984		
102656570	XP_006565513			
102656577	XP_026298494			
102656579	XP_006559727			
102656583	XP_006562746			
102656585	XP_016773587	K06537		
102656587	XP_006570354	K07834		
102656594	XP_006566249			
102656595	XP_006566471			
102656611	XP_016770281			
102656618	XP_026302077			
102656620	XP_026295824			
102656637	XP_006566534			
102656639	XP_016773621			
102656640	XP_006570181			
102656645	XP_026297959			
102656652	XP_016767098	K08513	ame04130	SNARE interactions in vesicular transport - Apis mellifera (honey bee)
102656656	XP_006559286	K08858		
102656657	XP_006559843			
102656661	XP_016768349	K24146		
102656664	XP_006560249			
102656669	XP_006570182			
102656685	XP_026298835	K17423		
102656719	XP_006559606			
102656725	XP_006566537			
102656730	XP_006569577			
102656732	XP_006570184			
102656733	XP_026299123	K10879	ame03440	Homologous recombination - Apis mellifera (honey bee)
102656738	XP_026297167			
102656747	XP_006565368			
102656757	XP_016772644			
102656758	XP_006560545			
102656766	XP_006569960	K09083		
102656779	XP_026295301			
102656792	XP_006569770	K07921		
102656796	XP_026299453			
102656805	XP_026299613	K22984		
102656812	XP_006562571	K12345	ame00510	N-Glycan biosynthesis - Apis mellifera (honey bee)
102656812	XP_006562571	K12345	ame01100	
102656821	XP_006557977			
102656822	XP_006559794			
102656824	XP_016773506			
102656830	XP_026300390	K08471		
102656838	XP_016771075	K22984		
102656841	XP_006562422	K25164		
102656846	XP_006565424	K06627		
102656882	XP_006562365	K15003		
102656885	XP_026300072			
102656890	XP_395877			
102656893	XP_006561788	K26152		
102656904	XP_006562027	K22984		
102656905	XP_006563488	K21246	ame04140	Autophagy - animal - Apis mellifera (honey bee)
102656907	XP_006565966	K22984		
102656914	XP_006572271	K27751		
102656934	XP_006567267	K09553		
107963960	XP_006566359	K03145		
107963961	XP_016772824	K06676		
107963962	XP_006562063	K14842		
107963964	XP_016768359			
107963965	XP_016769781	K11663	ame03082	ATP-dependent chromatin remodeling - Apis mellifera (honey bee)
107963966	XP_006565953	K22984		
107963967	XP_003250953			
107963968	XP_006564089	K01107	ame00562	Inositol phosphate metabolism - Apis mellifera (honey bee)
107963968	XP_006564089	K01107	ame01100	
107963968	XP_006564089	K01107	ame04070	Phosphatidylinositol signaling system - Apis mellifera (honey bee)
107963969	XP_016771559			
107963970	XP_001121053			
107963971	XP_016770254	K27856		
107963972	XP_016771490			
107963973	XP_016769807	K24426		
107963974	XP_016769675			
107963975	XP_006570637			
107963979	XP_026298210			
107963982	XP_016772712	K22641		
107963983	XP_016770530	K14857		
107963984	XP_006561812			
107963986	XP_016771581	K16809		
107963989	XP_026294828			
107963990	XP_026297546	K25830	ame03082	ATP-dependent chromatin remodeling - Apis mellifera (honey bee)
107963991	XP_026301417	K07190		
107963993	XP_016773384	K19882	ame04310	Wnt signaling pathway - Apis mellifera (honey bee)
107963995	XP_016769181			
107963996	XP_016772427			
107963999	XP_016772004	K22984		
107964003	XP_016769367			
107964006	XP_026296413			
107964012	XP_016771533			
107964014	XP_016771575			
107964018	XP_016766547			
107964020	XP_391912			
107964022	XP_026298537	K23334		
107964024	XP_016772684			
107964025	XP_016772983	K07847		
107964039	XP_016766208			
107964061	XP_016766340			
107964069	XP_016766352			
107964089	XP_026302245	K09884		
107964132	XP_026295562	K23733		
107964133	XP_026295204			
107964134	XP_016766562			
107964189	XP_016766792			
107964206	XP_016766851			
107964212	XP_006559778	K16605		
107964213	XP_016766925	K00871		
107964236	XP_016767012			
107964258	XP_026295858	K25546		
107964260	XP_016767097			
107964262	XP_026295804			
107964275	XP_026296220			
107964284	XP_026295831			
107964304	XP_016767246			
107964319	XP_016767295	K18826	ame00310	Lysine degradation - Apis mellifera (honey bee)
107964319	XP_016767295	K18826	ame01100	
107964328	XP_016767338			
107964329	XP_016767344			
107964335	XP_016767367			
107964338	XP_026295795			
107964339	XP_016767383			
107964343	XP_026295870			
107964349	XP_016767438	K19613		
107964350	XP_016767442	K07441	ame00510	N-Glycan biosynthesis - Apis mellifera (honey bee)
107964350	XP_016767442	K07441	ame00513	Various types of N-glycan biosynthesis - Apis mellifera (honey bee)
107964350	XP_016767442	K07441	ame01100	
107964351	XP_016767446	K02937	ame03010	Ribosome - Apis mellifera (honey bee)
107964398	XP_026296666	K05863		
107964400	XP_026296668			
107964403	XP_026296401			
107964404	XP_026296504	K04461	ame04013	MAPK signaling pathway - fly - Apis mellifera (honey bee)
107964405	XP_016767604			
107964412	XP_016767627	K03660	ame03410	Base excision repair - Apis mellifera (honey bee)
107964417	XP_026296657			
107964419	XP_026296747	K16550		
107964436	XP_026296361	K13107		
107964437	XP_016767692	K23205		
107964493	XP_016767845			
107964502	XP_016767877			
107964507	XP_016767894	K17362		
107964516	XP_026296652			
107964525	XP_016767984			
107964531	XP_026297194			
107964589	XP_026297178	K23939		
107964590	XP_016768132			
107964600	XP_016768158			
107964633	XP_026297195			
107964640	XP_016768304			
107964653	XP_016768362	K25417		
107964671	XP_026297164			
107964673	XP_026297230			
107964680	XP_026297102			
107964702	XP_026297482	K25608		
107964703	XP_016768480			
107964730	XP_026297431			
107964732	XP_026297763	K22984		
107964762	XP_016768702			
107964764	XP_016768706	K07935		
107964765	XP_026297741			
107964769	XP_016768723	K19363	ame04142	Lysosome - Apis mellifera (honey bee)
107964774	XP_016768758	K08040		
107964791	XP_026298043			
107964792	XP_026298356			
107964805	XP_026298044			
107964828	XP_016768959			
107964835	XP_016768974	K14792		
107964838	XP_016768985			
107964839	XP_026297832			
107964845	XP_016769069			
107964864	XP_026297905			
107964876	XP_016769140			
107964884	XP_016769216			
107964891	XP_016769230	K13176	ame03013	Nucleocytoplasmic transport - Apis mellifera (honey bee)
107964901	XP_016769261	K06975		
107964903	XP_026298089	K25730		
107964911	XP_016769305			
107964934	XP_016769345			
107964937	XP_016769361			
107964944	XP_016769384			
107964950	XP_026298623	K12833	ame03040	Spliceosome - Apis mellifera (honey bee)
107964958	XP_026298524			
107964964	XP_026298821			
107964975	XP_016769496			
107964981	XP_016769518			
107964982	XP_016769529	K08471		
107964994	XP_016769573			
107964997	XP_016769593			
107964998	XP_016769595	K19403		
107965000	XP_026298754			
107965005	XP_016769662			
107965011	XP_026298536	K22984		
107965021	XP_016769720			
107965022	XP_026299260	K24169		
107965037	XP_016769784			
107965038	XP_016769791	K14689		
107965041	XP_016769798	K14354		
107965045	XP_026298963			
107965055	XP_026299129			
107965070	XP_026299237			
107965072	XP_016769937			
107965085	XP_016769970			
107965102	XP_016770074			
107965127	XP_016770130			
107965147	XP_016770206	K19530		
107965163	XP_026300495			
107965179	XP_016770392			
107965181	XP_026301144			
107965192	XP_016770426	K17268		
107965199	XP_016770442	K00699	ame00040	Pentose and glucuronate interconversions - Apis mellifera (honey bee)
107965199	XP_016770442	K00699	ame00053	Ascorbate and aldarate metabolism - Apis mellifera (honey bee)
107965199	XP_016770442	K00699	ame00830	Retinol metabolism - Apis mellifera (honey bee)
107965199	XP_016770442	K00699	ame00860	Porphyrin metabolism - Apis mellifera (honey bee)
107965199	XP_016770442	K00699	ame00980	Metabolism of xenobiotics by cytochrome P450 - Apis mellifera (honey bee)
107965199	XP_016770442	K00699	ame00982	Drug metabolism - cytochrome P450 - Apis mellifera (honey bee)
107965199	XP_016770442	K00699	ame00983	Drug metabolism - other enzymes - Apis mellifera (honey bee)
107965199	XP_016770442	K00699	ame01100	
107965199	XP_016770442	K00699	ame01240	Biosynthesis of cofactors - Apis mellifera (honey bee)
107965219	XP_016770560	K08220		
107965225	XP_026299779	K01783	ame00030	Pentose phosphate pathway - Apis mellifera (honey bee)
107965225	XP_026299779	K01783	ame00040	Pentose and glucuronate interconversions - Apis mellifera (honey bee)
107965225	XP_026299779	K01783	ame01100	
107965225	XP_026299779	K01783	ame01200	Carbon metabolism - Apis mellifera (honey bee)
107965225	XP_026299779	K01783	ame01230	Biosynthesis of amino acids - Apis mellifera (honey bee)
107965231	XP_016770600			
107965233	XP_026299769	K24943		
107965235	XP_016770625			
107965237	XP_016770628			
107965250	XP_026299374	K15190		
107965265	XP_016770753			
107965266	XP_016770756			
107965271	XP_016770773			
107965279	XP_016770795			
107965281	XP_026299509	K07941	ame04144	Endocytosis - Apis mellifera (honey bee)
107965285	XP_016770809			
107965288	XP_026299550	K05752		
107965310	XP_026300236			
107965313	XP_026302085	K13348	ame04146	Peroxisome - Apis mellifera (honey bee)
