K14018	dme:Dmel_CG5105
K06693	dme:Dmel_CG9588
K06700	dme:Dmel_CG8979
K07767	dme:Dmel_CG10229
K03011	dme:Dmel_CG7885
K03900	dme:Dmel_CG7002
K04550	dme:Dmel_CG33087
K00710	dme:Dmel_CG6394
K07521	dme:Dmel_CG8166
K02838	dme:Dmel_CG4447
K01173	dme:Dmel_CG8862
K04676	dme:Dmel_CG12399
K01307	dme:Dmel_CG32155
K06990	dme:Dmel_CG8031
K08765	dme:Dmel_CG12891
K08766	dme:Dmel_CG2107
K00026	dme:Dmel_CG7998
K01886	dme:Dmel_CG10506
K02938	dme:Dmel_CG1263
K06632	dme:Dmel_CG4488
K05863	dme:Dmel_CG16944
K10575	dme:Dmel_CG40045
K07189	dme:Dmel_CG9619
K06619	dme:Dmel_CG4032
K02732	dme:Dmel_CG4097
K00784	dme:Dmel_CG3298
K04556	dme:Dmel_CG10523
K02087	dme:Dmel_CG5363
K06972	dme:Dmel_CG3107
K02180	dme:Dmel_CG7581
K02603	dme:Dmel_CG10667
K06826	dme:Dmel_CG12908
K06639	dme:Dmel_CG7134
K02377	dme:Dmel_CG3495
K03842	dme:Dmel_CG18012
K03283	dme:Dmel_CG4264
K05759	dme:Dmel_CG9553
K03627	dme:Dmel_CG4143
K08193	dme:Dmel_CG3036
K08193	dme:Dmel_CG4288
K08193	dme:Dmel_CG4726
K08193	dme:Dmel_CG6978
K08193	dme:Dmel_CG9254
K08193	dme:Dmel_CG9864
K06634	dme:Dmel_CG7405
K03363	dme:Dmel_CG4274
K10576	dme:Dmel_CG2257
K02209	dme:Dmel_CG4082
K07508	dme:Dmel_CG4600
K07509	dme:Dmel_CG4581
K09054	dme:Dmel_CG3136
K03626	dme:Dmel_CG8759
K04487	dme:Dmel_CG12264
K06628	dme:Dmel_CG3658
K02214	dme:Dmel_CG32742
K02214	dme:Dmel_CG5790
K02604	dme:Dmel_CG3041
K02605	dme:Dmel_CG4088
K02608	dme:Dmel_CG1584
K11345	dme:Dmel_CG9293
K06636	dme:Dmel_CG6057
K02213	dme:Dmel_CG5971
K00700	dme:Dmel_CG33138
K02156	dme:Dmel_CG6122
K04575	dme:Dmel_CG7158
K07152	dme:Dmel_CG8885
K03872	dme:Dmel_CG9291
K03869	dme:Dmel_CG42616
K06874	dme:Dmel_CG9060
K01619	dme:Dmel_CG8525
K09062	dme:Dmel_CG7952
K06842	dme:Dmel_CG18405
K03259	dme:Dmel_CG4035
K02941	dme:Dmel_CG7490
K08018	dme:Dmel_CG9491
K04799	dme:Dmel_CG8648
K06675	dme:Dmel_CG11397
K06158	dme:Dmel_CG9330
K06677	dme:Dmel_CG1911
K07523	dme:Dmel_CG4192
K01278	dme:Dmel_CG11034
K02155	dme:Dmel_CG32090
K02178	dme:Dmel_CG14030
K00974	dme:Dmel_CG2100
K02296	dme:Dmel_CG8727
K06875	dme:Dmel_CG13072
K07208	dme:Dmel_CG1081
K06664	dme:Dmel_CG7081
K02991	dme:Dmel_CG10944
K02133	dme:Dmel_CG11154
K00856	dme:Dmel_CG11255
K02951	dme:Dmel_CG11271
K08815	dme:Dmel_CG11533
K04600	dme:Dmel_CG11895
K04567	dme:Dmel_CG12141
K07048	dme:Dmel_CG18473
K06674	dme:Dmel_CG10212
K09411	dme:Dmel_CG1132
K09411	dme:Dmel_CG11921
K09411	dme:Dmel_CG11922
K02331	dme:Dmel_CG6189
K00471	dme:Dmel_CG5321
K05286	dme:Dmel_CG12006
K02730	dme:Dmel_CG18495
K01867	dme:Dmel_CG9735
K04079	dme:Dmel_CG1242
K01939	dme:Dmel_CG17273
K01528	dme:Dmel_CG18102
K03039	dme:Dmel_CG10230
K03843	dme:Dmel_CG1291
K03134	dme:Dmel_CG3069
K01231	dme:Dmel_CG18802
K03456	dme:Dmel_CG17291
K07390	dme:Dmel_CG14407
K00733	dme:Dmel_CG11780
K00683	dme:Dmel_CG5976
K07375	dme:Dmel_CG9277
K04008	dme:Dmel_CG8861
K00237	dme:Dmel_CG10219
K01737	dme:Dmel_CG16784
K03364	dme:Dmel_CG3000
K10733	dme:Dmel_CG18013
K09309	dme:Dmel_CG6534
K05864	dme:Dmel_CG8336
K01411	dme:Dmel_CG2025
K03671	dme:Dmel_CG31884
K03850	dme:Dmel_CG32076
K08054	dme:Dmel_CG11958
K01527	dme:Dmel_CG3644
K04456	dme:Dmel_CG4006
K09326	dme:Dmel_CG12154
K09313	dme:Dmel_CG11387
K08956	dme:Dmel_CG6512
K09341	dme:Dmel_CG1897
K09336	dme:Dmel_CG33980
K02678	dme:Dmel_CG17077
K09317	dme:Dmel_CG9930
K09317	dme:Dmel_CG2988
K09319	dme:Dmel_CG9015
K09320	dme:Dmel_CG2328
K09362	dme:Dmel_CG6348
K09362	dme:Dmel_CG7803
K09360	dme:Dmel_CG5529
K09364	dme:Dmel_CG12287
K09365	dme:Dmel_CG10037
K09366	dme:Dmel_CG9151
K09272	dme:Dmel_CG4817
K09275	dme:Dmel_CG30011
K09275	dme:Dmel_CG42311
K09140	dme:Dmel_CG4338
K09142	dme:Dmel_CG12128
K09310	dme:Dmel_CG11551
K09312	dme:Dmel_CG1759
K09328	dme:Dmel_CG6269
K09380	dme:Dmel_CG1449
K03065	dme:Dmel_CG10370
K05122	dme:Dmel_CG4926
K01265	dme:Dmel_CG5188
K01881	dme:Dmel_CG12186
K02983	dme:Dmel_CG15697
K05635	dme:Dmel_CG3322
K01456	dme:Dmel_CG7865
K05765	dme:Dmel_CG4254
K01540	dme:Dmel_CG9258
K01077	dme:Dmel_CG5656
K01107	dme:Dmel_CG3028
K03841	dme:Dmel_CG31692
K03259	dme:Dmel_CG33100
K02915	dme:Dmel_CG9354
K01077	dme:Dmel_CG8147
K00699	dme:Dmel_CG17323
K00471	dme:Dmel_CG10814
K02219	dme:Dmel_CG3738
K04409	dme:Dmel_CG10295
K03131	dme:Dmel_CG32211
K03687	dme:Dmel_CG6155
K00710	dme:Dmel_CG30463
K06130	dme:Dmel_CG18815
K03439	dme:Dmel_CG4045
K03349	dme:Dmel_CG3060
K00993	dme:Dmel_CG6016
K01194	dme:Dmel_CG6262
K00472	dme:Dmel_CG11828
K00275	dme:Dmel_CG31472
K01137	dme:Dmel_CG18278
K01490	dme:Dmel_CG32626
K00710	dme:Dmel_CG4445
K04392	dme:Dmel_CG2248
K07830	dme:Dmel_CG1167
K07827	dme:Dmel_CG9375
K01092	dme:Dmel_CG17029
K00820	dme:Dmel_CG12449
K01518	dme:Dmel_CG31713
K01691	dme:Dmel_CG3135
K10773	dme:Dmel_CG9272
K08657	dme:Dmel_CG5241
K03685	dme:Dmel_CG8730
K04513	dme:Dmel_CG8416
K03254	dme:Dmel_CG9805
K07611	dme:Dmel_CG6944
K03540	dme:Dmel_CG33082
K00819	dme:Dmel_CG8782
K01074	dme:Dmel_CG4851
K03926	dme:Dmel_CG11590
K07071	dme:Dmel_CG8768
K07374	dme:Dmel_CG1913
K07374	dme:Dmel_CG9476
K00109	dme:Dmel_CG10639
K04499	dme:Dmel_CG4003
K04468	dme:Dmel_CG7892
K00181	dme:Dmel_CG6205
K08867	dme:Dmel_CG7177
K10848	dme:Dmel_CG3697
K09288	dme:Dmel_CG6664
K08852	dme:Dmel_CG4583
K09291	dme:Dmel_CG8274
K06224	dme:Dmel_CG4637
K04373	dme:Dmel_CG17596
K06013	dme:Dmel_CG9000
K08875	dme:Dmel_CG1098
K08876	dme:Dmel_CG1973
K07432	dme:Dmel_CG14512
K07441	dme:Dmel_CG6308
K00738	dme:Dmel_CG9384
K09528	dme:Dmel_CG10375
K08729	dme:Dmel_CG4825
K09529	dme:Dmel_CG6693
K09531	dme:Dmel_CG8531
K09532	dme:Dmel_CG2239
K09533	dme:Dmel_CG8014
K09534	dme:Dmel_CG14650
K07198	dme:Dmel_CG3051
K07192	dme:Dmel_CG32593
K10573	dme:Dmel_CG2013
K09069	dme:Dmel_CG2956
K06115	dme:Dmel_CG5870
K08814	dme:Dmel_CG5408
K04797	dme:Dmel_CG7048
K04798	dme:Dmel_CG7770
K08836	dme:Dmel_CG4527
K03102	dme:Dmel_CG16901
K08283	dme:Dmel_CG7207
K08818	dme:Dmel_CG4268
K06103	dme:Dmel_CG6703
K05728	dme:Dmel_CG42317
K08268	dme:Dmel_CG45051
K08269	dme:Dmel_CG10967
K08811	dme:Dmel_CG14305
K08811	dme:Dmel_CG9222
K04078	dme:Dmel_CG11267
K09595	dme:Dmel_CG11840
K08333	dme:Dmel_CG9746
K08334	dme:Dmel_CG5429
K08816	dme:Dmel_CG6386
K08834	dme:Dmel_CG5125
K07206	dme:Dmel_CG6147
K07207	dme:Dmel_CG6975
K06627	dme:Dmel_CG5940
K01892	dme:Dmel_CG6335
K07204	dme:Dmel_CG4320
K04515	dme:Dmel_CG18069
K08796	dme:Dmel_CG6114
K08272	dme:Dmel_CG4083
K09680	dme:Dmel_CG5725
K09441	dme:Dmel_CG6338
K09428	dme:Dmel_CG32180
K09436	dme:Dmel_CG7018
K09442	dme:Dmel_CG5583
K09443	dme:Dmel_CG2914
K07023	dme:Dmel_CG11050
K08187	dme:Dmel_CG12286
K02513	dme:Dmel_CG10234
K02738	dme:Dmel_CG8392
K10718	dme:Dmel_CG17330
K10719	dme:Dmel_CG15101
K10719	dme:Dmel_CG15106
K10719	dme:Dmel_CG15102
K10720	dme:Dmel_CG6578
K10721	dme:Dmel_CG12028
K10722	dme:Dmel_CG14728
K10723	dme:Dmel_CG13478
K03251	dme:Dmel_CG4810
K03136	dme:Dmel_CG10415
K05088	dme:Dmel_CG18085
K05129	dme:Dmel_CG4007
K05128	dme:Dmel_CG17348
K05128	dme:Dmel_CG17559
K08252	dme:Dmel_CG3915
K03859	dme:Dmel_CG12077
K10703	dme:Dmel_CG6746
K08057	dme:Dmel_CG9429
K02355	dme:Dmel_CG31159
K01530	dme:Dmel_CG14741
K02978	dme:Dmel_CG10423
K08202	dme:Dmel_CG6331
K03165	dme:Dmel_CG10123
K00552	dme:Dmel_CG6188
K03509	dme:Dmel_CG7143
K08287	dme:Dmel_CG6027
K03097	dme:Dmel_CG17520
K00871	dme:Dmel_CG1830
K00884	dme:Dmel_CG6218
K06027	dme:Dmel_CG1618
K03106	dme:Dmel_CG4659
K02962	dme:Dmel_CG3922
K03537	dme:Dmel_CG14057
K01580	dme:Dmel_CG14994
K08515	dme:Dmel_CG1599
K08516	dme:Dmel_CG1515
K08517	dme:Dmel_CG7359
K10691	dme:Dmel_CG14472
K10693	dme:Dmel_CG32592
K09280	dme:Dmel_CG42267
K10694	dme:Dmel_CG14435
K02174	dme:Dmel_CG11491
K02447	dme:Dmel_CG17610
K02360	dme:Dmel_CG10847
K02602	dme:Dmel_CG10868
K09498	dme:Dmel_CG8231
K09499	dme:Dmel_CG8351
K09500	dme:Dmel_CG8258
K02857	dme:Dmel_CG33166
K09490	dme:Dmel_CG4147
K09493	dme:Dmel_CG5374
K09486	dme:Dmel_CG2918
K09494	dme:Dmel_CG7033
K08858	dme:Dmel_CG4945
K09495	dme:Dmel_CG8977
K09496	dme:Dmel_CG5525
K09497	dme:Dmel_CG8439
K10684	dme:Dmel_CG12276
K10685	dme:Dmel_CG7528
K10688	dme:Dmel_CG7220
K10686	dme:Dmel_CG13343
K00804	dme:Dmel_CG8593
K07192	dme:Dmel_CG8200
K10436	dme:Dmel_CG3265
K15033	dme:Dmel_CG6094
K03017	dme:Dmel_CG3284
K03004	dme:Dmel_CG13773
K03022	dme:Dmel_CG7339
K10849	dme:Dmel_CG10215
K10356	dme:Dmel_CG7438
K10356	dme:Dmel_CG9155
K10357	dme:Dmel_CG2146
K15627	dme:Dmel_CG33722
K06070	dme:Dmel_CG7125
K06626	dme:Dmel_CG3938
K09385	dme:Dmel_CG2939
K09396	dme:Dmel_CG5069
K10755	dme:Dmel_CG14999
K02326	dme:Dmel_CG13399
K10739	dme:Dmel_CG9273
K01623	dme:Dmel_CG5432
K10754	dme:Dmel_CG1119
K02333	dme:Dmel_CG33650
K02958	dme:Dmel_CG8332
K12670	dme:Dmel_CG9022
K09250	dme:Dmel_CG3800
K04552	dme:Dmel_CG12799
K08342	dme:Dmel_CG4428
K08341	dme:Dmel_CG12334
K08341	dme:Dmel_CG32672
K05289	dme:Dmel_CG3033
K06685	dme:Dmel_CG13852
K07375	dme:Dmel_CG32396
K07375	dme:Dmel_CG3401
K07375	dme:Dmel_CG4869
K04599	dme:Dmel_CG6936
K05849	dme:Dmel_CG5685
K03132	dme:Dmel_CG2670
K03137	dme:Dmel_CG1276
K07739	dme:Dmel_CG15433
K08471	dme:Dmel_CG15371
K08471	dme:Dmel_CG18531
K08471	dme:Dmel_CG31060
K08471	dme:Dmel_CG31620
K08471	dme:Dmel_CG7303
K08471	dme:Dmel_CG13495
K08471	dme:Dmel_CG30191
K08471	dme:Dmel_CG31936
K08471	dme:Dmel_CG13976
K08471	dme:Dmel_CG31059
K08471	dme:Dmel_CG13888
K08471	dme:Dmel_CG15779
K08471	dme:Dmel_CG32256
K08471	dme:Dmel_CG32257
K08471	dme:Dmel_CG32261
K08471	dme:Dmel_CG32693
K08471	dme:Dmel_CG32664
K08471	dme:Dmel_CG13417
K08471	dme:Dmel_CG31173
K08471	dme:Dmel_CG31335
K08471	dme:Dmel_CG31336
K08471	dme:Dmel_CG31662
K08471	dme:Dmel_CG31405
K08471	dme:Dmel_CG31061
K08471	dme:Dmel_CG32433
K05725	dme:Dmel_CG10023
K03768	dme:Dmel_CG2852
K08252	dme:Dmel_CG7525
K04280	dme:Dmel_CG11325
K03861	dme:Dmel_CG14550
K09667	dme:Dmel_CG10392
K04459	dme:Dmel_CG14080
K04438	dme:Dmel_CG1587
K01228	dme:Dmel_CG1597
K09660	dme:Dmel_CG3792
K11375	dme:Dmel_CG6907
K22738	dme:Dmel_CG13758
K01063	dme:Dmel_CG8425
K04307	dme:Dmel_CG31096
K08824	dme:Dmel_CG7236
K04429	dme:Dmel_CG14217
K09523	dme:Dmel_CG8286
K09525	dme:Dmel_CG6395
K09527	dme:Dmel_CG4599
K04706	dme:Dmel_CG8068
K08052	dme:Dmel_CG8318
K08399	dme:Dmel_CG8930
K04352	dme:Dmel_CG9209
K06669	dme:Dmel_CG9802
K03138	dme:Dmel_CG10281
K09659	dme:Dmel_CG33977
K09669	dme:Dmel_CG4435
K04632	dme:Dmel_CG2835
K04634	dme:Dmel_CG17759
K00140	dme:Dmel_CG17896
K02984	dme:Dmel_CG2168
K03691	dme:Dmel_CG14789
K01530	dme:Dmel_CG31729
K04437	dme:Dmel_CG3937
K07293	dme:Dmel_CG3954
K01679	dme:Dmel_CG4094
K00802	dme:Dmel_CG4300
K03129	dme:Dmel_CG5444
K03163	dme:Dmel_CG6146
K03133	dme:Dmel_CG6474
K00161	dme:Dmel_CG7010
K06704	dme:Dmel_CG7147
K06059	dme:Dmel_CG7908
K02135	dme:Dmel_CG9032
K00999	dme:Dmel_CG9245
K04348	dme:Dmel_CG9819
K08471	dme:Dmel_CG33151
K08471	dme:Dmel_CG13491
K07376	dme:Dmel_CG10033
K07376	dme:Dmel_CG3324
K07376	dme:Dmel_CG4839
K07847	dme:Dmel_CG8418
K00869	dme:Dmel_CG33671
K08471	dme:Dmel_CG14987
K08471	dme:Dmel_CG32258
K08376	dme:Dmel_CG33344
K08155	dme:Dmel_CG33528
K05858	dme:Dmel_CG3620
K06491	dme:Dmel_CG3665
K00889	dme:Dmel_CG3682
K06057	dme:Dmel_CG3779
K05699	dme:Dmel_CG4376
K08791	dme:Dmel_CG12072
K05756	dme:Dmel_CG4560
K06052	dme:Dmel_CG6127
K05766	dme:Dmel_CG6238
K04707	dme:Dmel_CG7037
K08471	dme:Dmel_CG7189
K08498	dme:Dmel_CG7736
K09131	dme:Dmel_CG14966
K08337	dme:Dmel_CG5489
K08339	dme:Dmel_CG1643
K07209	dme:Dmel_CG4201
K06508	dme:Dmel_CG6120
K09031	dme:Dmel_CG33956
K08336	dme:Dmel_CG10861
K08471	dme:Dmel_CG12906
K08471	dme:Dmel_CG13787
K08471	dme:Dmel_CG13788
K05126	dme:Dmel_CG14396
K08471	dme:Dmel_CG14901
K08471	dme:Dmel_CG14916
K05110	dme:Dmel_CG1511
K08471	dme:Dmel_CG15396
K08471	dme:Dmel_CG1712
K08471	dme:Dmel_CG17213
K04501	dme:Dmel_CG1775
K08518	dme:Dmel_CG17762
K05743	dme:Dmel_CG1848
K04384	dme:Dmel_CG1901
K05676	dme:Dmel_CG2316
K06094	dme:Dmel_CG2671
K08471	dme:Dmel_CG30030
K08471	dme:Dmel_CG30189
K08471	dme:Dmel_CG30396
K06564	dme:Dmel_CG31072
K08471	dme:Dmel_CG31208
K05760	dme:Dmel_CG31794
K08471	dme:Dmel_CG31929
K08471	dme:Dmel_CG31931
K08471	dme:Dmel_CG31932
K08471	dme:Dmel_CG32255
K07847	dme:Dmel_CG34390
K09231	dme:Dmel_CG3340
K09213	dme:Dmel_CG9786
K09214	dme:Dmel_CG7672
K09215	dme:Dmel_CG3851
K09215	dme:Dmel_CG10021
K09215	dme:Dmel_CG3242
K09200	dme:Dmel_CG12653
K09200	dme:Dmel_CG5669
K09200	dme:Dmel_CG3065
K09227	dme:Dmel_CG1133
K09236	dme:Dmel_CG1374
K04361	dme:Dmel_CG10079
K09027	dme:Dmel_CG9415
K08869	dme:Dmel_CG32649
K08869	dme:Dmel_CG3608
K08869	dme:Dmel_CG7616
K08342	dme:Dmel_CG6194
K08343	dme:Dmel_CG6877
K03660	dme:Dmel_CG1795
K04547	dme:Dmel_CG3694
K10596	dme:Dmel_CG11070
K09113	dme:Dmel_CG18362
K10352	dme:Dmel_CG15792
K10577	dme:Dmel_CG3018
K10263	dme:Dmel_CG9144
K19283	dme:Dmel_CG9452
K08991	dme:Dmel_CG3026
K03440	dme:Dmel_CG1058
K10319	dme:Dmel_CG4643
K04578	dme:Dmel_CG8422
K02353	dme:Dmel_CG18361
K06171	dme:Dmel_CG7012
K06067	dme:Dmel_CG7471
K09427	dme:Dmel_CG15845
K09420	dme:Dmel_CG9045
K01255	dme:Dmel_CG9285
K03544	dme:Dmel_CG4538
K08658	dme:Dmel_CG4852
K08819	dme:Dmel_CG7597
K09300	dme:Dmel_CG11648
K09561	dme:Dmel_CG5203
K09562	dme:Dmel_CG10973
K09564	dme:Dmel_CG4886
K09565	dme:Dmel_CG9916
K09567	dme:Dmel_CG17266
K08471	dme:Dmel_CG13441
K08471	dme:Dmel_CG14979
K08471	dme:Dmel_CG30186
K08471	dme:Dmel_CG31744
K09458	dme:Dmel_CG12170
K04043	dme:Dmel_CG8542
K09302	dme:Dmel_CG31481
K09304	dme:Dmel_CG2189
K03676	dme:Dmel_CG6852
K09374	dme:Dmel_CG10699
K02090	dme:Dmel_CG8203
K07611	dme:Dmel_CG10119
K06115	dme:Dmel_CG12008
K04482	dme:Dmel_CG7948
K09353	dme:Dmel_CG6570
K09355	dme:Dmel_CG8933
K01540	dme:Dmel_CG9261
K03094	dme:Dmel_CG12227
K09339	dme:Dmel_CG11607
K09301	dme:Dmel_CG1264
K09352	dme:Dmel_CG7895
K08029	dme:Dmel_CG6172
K09448	dme:Dmel_CG8544
K09452	dme:Dmel_CG3935
K08789	dme:Dmel_CG6498
K08790	dme:Dmel_CG8637
K09479	dme:Dmel_CG7461
K09478	dme:Dmel_CG3902
K09373	dme:Dmel_CG8376
K09216	dme:Dmel_CG6824
K08801	dme:Dmel_CG3105
K08802	dme:Dmel_CG8485
K06172	dme:Dmel_CG2855
K05948	dme:Dmel_CG10580
K10141	dme:Dmel_CG11299
K09067	dme:Dmel_CG3258
K09067	dme:Dmel_CG3796
K09067	dme:Dmel_CG3827
K09067	dme:Dmel_CG3839
K05995	dme:Dmel_CG2200
K05284	dme:Dmel_CG9865
K10862	dme:Dmel_CG8825
K07765	dme:Dmel_CG8988
K09104	dme:Dmel_CG5441
K10838	dme:Dmel_CG8153
K09257	dme:Dmel_CG7457
K08870	dme:Dmel_CG3172
K09100	dme:Dmel_CG7771
K09237	dme:Dmel_CG1856
K05610	dme:Dmel_CG3431
K09083	dme:Dmel_CG7508
K09091	dme:Dmel_CG11194
K09090	dme:Dmel_CG6096
K09090	dme:Dmel_CG6494
K09090	dme:Dmel_CG8704
K09090	dme:Dmel_CG14548
K09090	dme:Dmel_CG8328
K09090	dme:Dmel_CG8333
K09090	dme:Dmel_CG8346
K09090	dme:Dmel_CG8361
K09090	dme:Dmel_CG8365
K11368	dme:Dmel_CG15191
K03844	dme:Dmel_CG11306
K11373	dme:Dmel_CG10535
K04255	dme:Dmel_CG16740
K11352	dme:Dmel_CG3214
K00771	dme:Dmel_CG32300
K07298	dme:Dmel_CG9374
K01285	dme:Dmel_CG2493
K10858	dme:Dmel_CG8169
K07203	dme:Dmel_CG5092
K09560	dme:Dmel_CG2947
K09381	dme:Dmel_CG6716
K09381	dme:Dmel_CG3388
K09381	dme:Dmel_CG2692
K09382	dme:Dmel_CG9610
K00939	dme:Dmel_CG17146
K09598	dme:Dmel_CG17370
K01349	dme:Dmel_CG10772
K03644	dme:Dmel_CG5231
K08776	dme:Dmel_CG1009
K08588	dme:Dmel_CG8445
K03083	dme:Dmel_CG2621
K02223	dme:Dmel_CG7391
K08701	dme:Dmel_CG18023
K09511	dme:Dmel_CG5001
K09512	dme:Dmel_CG8448
K09517	dme:Dmel_CG4164
K09518	dme:Dmel_CG3061
K08585	dme:Dmel_CG8107
K08635	dme:Dmel_CG5905
K09521	dme:Dmel_CG7556
K09522	dme:Dmel_CG10565
K01372	dme:Dmel_CG1440
K11367	dme:Dmel_CG3733
K08734	dme:Dmel_CG11482
K08860	dme:Dmel_CG2087
K08737	dme:Dmel_CG7003
K09172	dme:Dmel_CG2380
K03948	dme:Dmel_CG32230
K02155	dme:Dmel_CG32089
K08738	dme:Dmel_CG17903
K09554	dme:Dmel_CG12019
K09556	dme:Dmel_CG7945
K03846	dme:Dmel_CG11851
K09537	dme:Dmel_CG17187
K09574	dme:Dmel_CG5482
K09577	dme:Dmel_CG9847
K09578	dme:Dmel_CG17051
K09579	dme:Dmel_CG11858
K09580	dme:Dmel_CG6988
K09583	dme:Dmel_CG9302
K09584	dme:Dmel_CG5809
K09585	dme:Dmel_CG5027
K11366	dme:Dmel_CG4166
K02098	dme:Dmel_CG10076
K01206	dme:Dmel_CG6128
K04560	dme:Dmel_CG31136
K10080	dme:Dmel_CG6822
K10082	dme:Dmel_CG5510
K10085	dme:Dmel_CG3810
K10086	dme:Dmel_CG5682
K10362	dme:Dmel_CG31045
K09502	dme:Dmel_CG8863
K09504	dme:Dmel_CG5504
K09506	dme:Dmel_CG2790
K09510	dme:Dmel_CG10578
K10394	dme:Dmel_CG10642
K01540	dme:Dmel_CG8663
K09602	dme:Dmel_CG4968
K09884	dme:Dmel_CG17662
K09884	dme:Dmel_CG17664
K09884	dme:Dmel_CG4019
K09884	dme:Dmel_CG5398
K09884	dme:Dmel_CG7777
K09884	dme:Dmel_CG9023
K09646	dme:Dmel_CG3344
K09647	dme:Dmel_CG9240
K08709	dme:Dmel_CG10296
K09548	dme:Dmel_CG13993
K09549	dme:Dmel_CG6302
K09550	dme:Dmel_CG10635
K09552	dme:Dmel_CG2658
K09553	dme:Dmel_CG2720
K08826	dme:Dmel_CG17090
K09481	dme:Dmel_CG10130
K08501	dme:Dmel_CG4109
K08504	dme:Dmel_CG14084
K08509	dme:Dmel_CG11173
K10734	dme:Dmel_CG2222
K10735	dme:Dmel_CG14549
K10736	dme:Dmel_CG9241
K10743	dme:Dmel_CG13690
K10744	dme:Dmel_CG11164
K06709	dme:Dmel_CG33182
K09594	dme:Dmel_CG8616
K09485	dme:Dmel_CG6603
K08491	dme:Dmel_CG7452
K08492	dme:Dmel_CG13626
K08493	dme:Dmel_CG3279
K09592	dme:Dmel_CG44015
K10771	dme:Dmel_CG3178
K07304	dme:Dmel_CG7266
K00021	dme:Dmel_CG10367
K09569	dme:Dmel_CG14715
K09571	dme:Dmel_CG4535
K09572	dme:Dmel_CG4735
K06928	dme:Dmel_CG10581
K09539	dme:Dmel_CG7394
K09540	dme:Dmel_CG8583
K09995	dme:Dmel_CG7902
K09542	dme:Dmel_CG4533
K08266	dme:Dmel_CG3004
K02129	dme:Dmel_CG3321
K02128	dme:Dmel_CG1746
K08706	dme:Dmel_CG4717
K08706	dme:Dmel_CG4761
K08706	dme:Dmel_CG7383
K08495	dme:Dmel_CG7700
K08496	dme:Dmel_CG4780
K07295	dme:Dmel_CG9019
K04648	dme:Dmel_CG9206
K00846	dme:Dmel_CG7328
K01793	dme:Dmel_CG3194
K10769	dme:Dmel_CG14130
K10768	dme:Dmel_CG6144
K10770	dme:Dmel_CG17807
K00907	dme:Dmel_CG42347
K06228	dme:Dmel_CG6551
K03209	dme:Dmel_CG4889
K09321	dme:Dmel_CG1650
K07976	dme:Dmel_CG15399
K01304	dme:Dmel_CG32147
K00456	dme:Dmel_CG5493
K00645	dme:Dmel_CG7842
K07972	dme:Dmel_CG8770
K07976	dme:Dmel_CG31118
K08489	dme:Dmel_CG1467
K08490	dme:Dmel_CG4214
K03259	dme:Dmel_CG8023
K00898	dme:Dmel_CG8808
K09180	dme:Dmel_CG7807
K09183	dme:Dmel_CG3978
K04533	dme:Dmel_CG9995
K02211	dme:Dmel_CG5179
K02216	dme:Dmel_CG17161
K03857	dme:Dmel_CG6401
K00016	dme:Dmel_CG10160
K07897	dme:Dmel_CG5915
K07881	dme:Dmel_CG4212
K02677	dme:Dmel_CG6518
K02677	dme:Dmel_CG6622
K03353	dme:Dmel_CG6759
K04727	dme:Dmel_CG7263
K03029	dme:Dmel_CG7619
K04237	dme:Dmel_CG5055
K05673	dme:Dmel_CG4562
K03139	dme:Dmel_CG6538
K06111	dme:Dmel_CG2095
K02735	dme:Dmel_CG11981
K01899	dme:Dmel_CG1065
K07556	dme:Dmel_CG8674
K07342	dme:Dmel_CG8860
K04552	dme:Dmel_CG5788
K10597	dme:Dmel_CG9934
K10415	dme:Dmel_CG18000
K10418	dme:Dmel_CG6998
K10420	dme:Dmel_CG12363
K10424	dme:Dmel_CG8269
K10425	dme:Dmel_CG9893
K10426	dme:Dmel_CG12042
K10427	dme:Dmel_CG10846
K19601	dme:Dmel_CG33955
K09487	dme:Dmel_CG5520
K09488	dme:Dmel_CG3152
K10598	dme:Dmel_CG7747
K10599	dme:Dmel_CG5519
K04506	dme:Dmel_CG9949
K10419	dme:Dmel_CG10751
K10428	dme:Dmel_CG17347
K08035	dme:Dmel_CG10002
K10800	dme:Dmel_CG5285
K10151	dme:Dmel_CG9096
K00699	dme:Dmel_CG9481
K00736	dme:Dmel_CG7921
K00693	dme:Dmel_CG6904
K00995	dme:Dmel_CG7718
K00799	dme:Dmel_CG1702
K01187	dme:Dmel_CG7685
K01724	dme:Dmel_CG1963
K01872	dme:Dmel_CG4633
K01087	dme:Dmel_CG5177
K01565	dme:Dmel_CG14291
K00940	dme:Dmel_CG2210
K01273	dme:Dmel_CG44837
K00275	dme:Dmel_CG31473
K00685	dme:Dmel_CG9204
K20016	dme:Dmel_CG5123
K14780	dme:Dmel_CG3228
K10575	dme:Dmel_CG9602
K10808	dme:Dmel_CG8975
K11428	dme:Dmel_CG3307
K01807	dme:Dmel_CG30410
K00418	dme:Dmel_CG7580
K10807	dme:Dmel_CG5371
K10579	dme:Dmel_CG7375
K10580	dme:Dmel_CG18319
K10581	dme:Dmel_CG10254
K10586	dme:Dmel_CG6303
K10799	dme:Dmel_CG4719
K02830	dme:Dmel_CG3240
K04728	dme:Dmel_CG6535
K06641	dme:Dmel_CG10895
K10593	dme:Dmel_CG9484
K06662	dme:Dmel_CG7825
K10595	dme:Dmel_CG11734
K10803	dme:Dmel_CG4208
