	dme	ncbi	ko	pathway	pathname
6569	Dmel_CG14721	NP_001262483	K00949	map01240	Biosynthesis of cofactors
6570	Dmel_CG14722	NP_650111	K24750		
6571	Dmel_CG14723	NP_001163591	K05397		
6572	Dmel_CG14724	NP_001262488	K02264	map00190	Oxidative phosphorylation
6573	Dmel_CG14724	NP_001262488	K02264	map01100	
6574	Dmel_CG14724	NP_001262488	K02264	map04260	Cardiac muscle contraction
6575	Dmel_CG14724	NP_001262488	K02264	map04714	Thermogenesis
6576	Dmel_CG14724	NP_001262488	K02264	map04932	Non-alcoholic fatty liver disease
6577	Dmel_CG14724	NP_001262488	K02264	map05010	Alzheimer disease
6578	Dmel_CG14724	NP_001262488	K02264	map05012	Parkinson disease
6579	Dmel_CG14724	NP_001262488	K02264	map05014	Amyotrophic lateral sclerosis
6580	Dmel_CG14724	NP_001262488	K02264	map05016	Huntington disease
6581	Dmel_CG14724	NP_001262488	K02264	map05020	Prion disease
6582	Dmel_CG14724	NP_001262488	K02264	map05022	Pathways of neurodegeneration - multiple diseases
6583	Dmel_CG14724	NP_001262488	K02264	map05208	Chemical carcinogenesis - reactive oxygen species
6584	Dmel_CG14724	NP_001262488	K02264	map05415	Diabetic cardiomyopathy
6585	Dmel_CG14728	NP_650123	K10722	map00981	Insect hormone biosynthesis
6586	Dmel_CG14731	NP_650130			
6587	Dmel_CG14734	NP_650141			
6588	Dmel_CG14735	NP_650149			
6589	Dmel_CG14736	NP_001287293	K17286		
6590	Dmel_CG14739	NP_650151	K10576	map04120	Ubiquitin mediated proteolysis
6591	Dmel_CG1474	NP_572480	K13118		
6592	Dmel_CG14740	NP_650152	K01647	map00020	Citrate cycle (TCA cycle)
6593	Dmel_CG14740	NP_650152	K01647	map00630	Glyoxylate and dicarboxylate metabolism
6594	Dmel_CG14740	NP_650152	K01647	map01100	
6595	Dmel_CG14740	NP_650152	K01647	map01110	Biosynthesis of secondary metabolites
6596	Dmel_CG14740	NP_650152	K01647	map01120	Microbial metabolism in diverse environments
6597	Dmel_CG14740	NP_650152	K01647	map01200	Carbon metabolism
6598	Dmel_CG14740	NP_650152	K01647	map01210	2-Oxocarboxylic acid metabolism
6599	Dmel_CG14740	NP_650152	K01647	map01230	Biosynthesis of amino acids
6600	Dmel_CG14741	NP_001247067	K01530		
6601	Dmel_CG14742	NP_001247074			
6602	Dmel_CG14743	NP_610408	K13754		
6603	Dmel_CG14744	NP_001097232	K13754		
6604	Dmel_CG14745	NP_610410	K01446	map04624	Toll and Imd signaling pathway
6605	Dmel_CG14746	NP_610407	K01446	map04624	Toll and Imd signaling pathway
6606	Dmel_CG14749	NP_610400	K18723	map03013	Nucleocytoplasmic transport
6607	Dmel_CG14749	NP_610400	K18723	map03015	mRNA surveillance pathway
6608	Dmel_CG14749	NP_610400	K18723	map05014	Amyotrophic lateral sclerosis
6609	Dmel_CG1475	NP_649560	K02872	map03010	Ribosome
6610	Dmel_CG1475	NP_649560	K02872	map05171	Coronavirus disease - COVID-19
6611	Dmel_CG14750	NP_610398	K12189	map04144	Endocytosis
6612	Dmel_CG14752	NP_610393			
6613	Dmel_CG14756	NP_610364			
6614	Dmel_CG14757	NP_610363	K18168		
6615	Dmel_CG14759	NP_001286191			
6616	Dmel_CG14760	NP_610366			
6617	Dmel_CG14762	NP_001246198			
6618	Dmel_CG14763	NP_001286175			
6619	Dmel_CG14764	NP_001246197			
6620	Dmel_CG14767	NP_652400	K12387	map04142	Lysosome
6621	Dmel_CG14770	NP_569907			
6622	Dmel_CG14777	NP_001162634	K13348	map04146	Peroxisome
6623	Dmel_CG14778	NP_569918	K13348	map04146	Peroxisome
6624	Dmel_CG14779	NP_001033820			
6625	Dmel_CG1478	NP_511087			
6626	Dmel_CG14780	NP_569920			
6627	Dmel_CG14781	NP_001284783			
6628	Dmel_CG14782	NP_001284784	K23858		
6629	Dmel_CG14785	NP_569912			
6630	Dmel_CG14786	NP_569913	K17964		
6631	Dmel_CG14787	NP_569914			
6632	Dmel_CG14788	NP_001284779	K14539	map03008	Ribosome biogenesis in eukaryotes
6633	Dmel_CG14789	NP_569916	K03691	map00514	Other types of O-glycan biosynthesis
6634	Dmel_CG14791	NP_569921	K07885		
6635	Dmel_CG14792	NP_001284785	K02998	map03010	Ribosome
6636	Dmel_CG14792	NP_001284785	K02998	map05171	Coronavirus disease - COVID-19
6637	Dmel_CG14795	NP_569925			
6638	Dmel_CG14796	NP_001188524			
6639	Dmel_CG14797	NP_001245468			
6640	Dmel_CG1480	NP_524604			
6641	Dmel_CG14802	NP_569948	K15135		
6642	Dmel_CG14803	NP_569950	K26125		
6643	Dmel_CG14804	NP_569952	K18466	map04144	Endocytosis
6644	Dmel_CG14805	NP_569954	K14829		
6645	Dmel_CG14806	NP_001259147	K23506		
6646	Dmel_CG14808	NP_001162639	K12563	map04820	Cytoskeleton in muscle cells
6647	Dmel_CG14808	NP_001162639	K12563	map05410	Hypertrophic cardiomyopathy
6648	Dmel_CG14808	NP_001162639	K12563	map05412	Arrhythmogenic right ventricular cardiomyopathy
6649	Dmel_CG14808	NP_001162639	K12563	map05414	Dilated cardiomyopathy
6650	Dmel_CG14808	NP_001162639	K12563	map05416	Viral myocarditis
6651	Dmel_CG14810	NP_001245482			
6652	Dmel_CG14811	NP_569942			
6653	Dmel_CG14812	NP_001259144	K16344	map04150	mTOR signaling pathway
6654	Dmel_CG14813	NP_001162642	K20471		
6655	Dmel_CG14814	NP_001284793	K26957		
6656	Dmel_CG14815	NP_569949	K13342	map04146	Peroxisome
6657	Dmel_CG14816	NP_569951	K15637	map04137	Mitophagy - animal
6658	Dmel_CG14816	NP_569951	K15637	map04217	Necroptosis
6659	Dmel_CG14816	NP_569951	K15637	map04668	TNF signaling pathway
6660	Dmel_CG14817	NP_001284796			
6661	Dmel_CG14818	NP_001259146			
6662	Dmel_CG14820	NP_648060			
6663	Dmel_CG14821	NP_001097526			
6664	Dmel_CG14823	NP_648074			
6665	Dmel_CG14825	NP_648080	K16746		
6666	Dmel_CG14826	NP_001097528			
6667	Dmel_CG14827	NP_523956			
6668	Dmel_CG14829	NP_648089			
6669	Dmel_CG1483	NP_524615			
6670	Dmel_CG14830	NP_001246653			
6671	Dmel_CG14834	NP_648108			
6672	Dmel_CG14835	NP_648122			
6673	Dmel_CG14837	NP_648136			
6674	Dmel_CG14838	NP_648138	K24722	map04814	Motor proteins
6675	Dmel_CG14839	NP_650351			
6676	Dmel_CG1484	NP_525097	K27496		
6677	Dmel_CG14840	NP_650349			
6678	Dmel_CG14841	NP_650350			
6679	Dmel_CG14850	NP_650371			
6680	Dmel_CG14851	NP_650372			
6681	Dmel_CG14852	NP_650373			
6682	Dmel_CG14853	NP_001262573			
6683	Dmel_CG14854	NP_001097791			
6684	Dmel_CG14855	NP_650390			
6685	Dmel_CG14856	NP_650391			
6686	Dmel_CG14857	NP_650392			
6687	Dmel_CG1486	NP_608450			
6688	Dmel_CG14860	NP_650403			
6689	Dmel_CG14861	NP_650409			
6690	Dmel_CG14864	NP_001036714			
6691	Dmel_CG14865	NP_001262589	K18182	map04714	Thermogenesis
6692	Dmel_CG14866	NP_001138057			
6693	Dmel_CG14868	NP_650458			
6694	Dmel_CG14869	NP_001262604	K08624		
6695	Dmel_CG1487	NP_001247400	K04439	map04010	MAPK signaling pathway
6696	Dmel_CG1487	NP_001247400	K04439	map04062	Chemokine signaling pathway
6697	Dmel_CG1487	NP_001247400	K04439	map04144	Endocytosis
6698	Dmel_CG1487	NP_001247400	K04439	map04340	Hedgehog signaling pathway
6699	Dmel_CG1487	NP_001247400	K04439	map04728	Dopaminergic synapse
6700	Dmel_CG1487	NP_001247400	K04439	map04740	Olfactory transduction
6701	Dmel_CG1487	NP_001247400	K04439	map04926	Relaxin signaling pathway
6702	Dmel_CG1487	NP_001247400	K04439	map04928	Parathyroid hormone synthesis, secretion and action
6703	Dmel_CG1487	NP_001247400	K04439	map04929	GnRH secretion
6704	Dmel_CG1487	NP_001247400	K04439	map05032	Morphine addiction
6705	Dmel_CG1487	NP_001247400	K04439	map05207	Chemical carcinogenesis - receptor activation
6706	Dmel_CG14870	NP_650470	K16744		
6707	Dmel_CG14871	NP_650471			
6708	Dmel_CG14877	NP_650507			
6709	Dmel_CG14879	NP_001262629			
6710	Dmel_CG1488	NP_572780			
6711	Dmel_CG14880	NP_650538			
6712	Dmel_CG14881	NP_650541	K24825		
6713	Dmel_CG14882	NP_001262637	K00597	map04980	Cobalamin transport and metabolism
6714	Dmel_CG14883	NP_650547			
6715	Dmel_CG14884	NP_477442	K09613		
6716	Dmel_CG14885	NP_001036718	K01769	map00230	Purine metabolism
6717	Dmel_CG14885	NP_001036718	K01769	map01100	
6718	Dmel_CG14886	NP_650551	K01769	map00230	Purine metabolism
6719	Dmel_CG14886	NP_650551	K01769	map01100	
6720	Dmel_CG14887	NP_001036720	K00287	map00670	One carbon pool by folate
6721	Dmel_CG14887	NP_001036720	K00287	map00790	Folate biosynthesis
6722	Dmel_CG14887	NP_001036720	K00287	map01100	
6723	Dmel_CG14887	NP_001036720	K00287	map01240	Biosynthesis of cofactors
6724	Dmel_CG14887	NP_001036720	K00287	map01523	Antifolate resistance
6725	Dmel_CG14887	NP_001036720	K00287	map04981	Folate transport and metabolism
6726	Dmel_CG1489	NP_608447	K03066	map03050	Proteasome
6727	Dmel_CG1489	NP_608447	K03066	map05010	Alzheimer disease
6728	Dmel_CG1489	NP_608447	K03066	map05012	Parkinson disease
6729	Dmel_CG1489	NP_608447	K03066	map05014	Amyotrophic lateral sclerosis
6730	Dmel_CG1489	NP_608447	K03066	map05016	Huntington disease
6731	Dmel_CG1489	NP_608447	K03066	map05017	Spinocerebellar ataxia
6732	Dmel_CG1489	NP_608447	K03066	map05020	Prion disease
6733	Dmel_CG1489	NP_608447	K03066	map05022	Pathways of neurodegeneration - multiple diseases
6734	Dmel_CG1489	NP_608447	K03066	map05169	Epstein-Barr virus infection
6735	Dmel_CG14891	NP_650560			
6736	Dmel_CG14892	NP_650562			
6737	Dmel_CG14893	NP_650568	K13356	map00073	Cutin, suberine and wax biosynthesis
6738	Dmel_CG14893	NP_650568	K13356	map01110	Biosynthesis of secondary metabolites
6739	Dmel_CG14893	NP_650568	K13356	map04146	Peroxisome
6740	Dmel_CG14893	NP_650568	K13356	map04212	Longevity regulating pathway - worm
6741	Dmel_CG14894	NP_001262636	K24926		
6742	Dmel_CG14895	NP_001262638	K04409	map04010	MAPK signaling pathway
6743	Dmel_CG14895	NP_001262638	K04409	map04011	MAPK signaling pathway - yeast
6744	Dmel_CG14895	NP_001262638	K04409	map04012	ErbB signaling pathway
6745	Dmel_CG14895	NP_001262638	K04409	map04014	Ras signaling pathway
6746	Dmel_CG14895	NP_001262638	K04409	map04024	cAMP signaling pathway
6747	Dmel_CG14895	NP_001262638	K04409	map04062	Chemokine signaling pathway
6748	Dmel_CG14895	NP_001262638	K04409	map04360	Axon guidance
6749	Dmel_CG14895	NP_001262638	K04409	map04392	Hippo signaling pathway - multiple species
6750	Dmel_CG14895	NP_001262638	K04409	map04510	Focal adhesion
6751	Dmel_CG14895	NP_001262638	K04409	map04625	C-type lectin receptor signaling pathway
6752	Dmel_CG14895	NP_001262638	K04409	map04650	Natural killer cell mediated cytotoxicity
6753	Dmel_CG14895	NP_001262638	K04409	map04660	T cell receptor signaling pathway
6754	Dmel_CG14895	NP_001262638	K04409	map04666	Fc gamma R-mediated phagocytosis
6755	Dmel_CG14895	NP_001262638	K04409	map04810	Regulation of actin cytoskeleton
6756	Dmel_CG14895	NP_001262638	K04409	map05120	Epithelial cell signaling in Helicobacter pylori infection
6757	Dmel_CG14895	NP_001262638	K04409	map05130	Pathogenic Escherichia coli infection
6758	Dmel_CG14895	NP_001262638	K04409	map05132	Salmonella infection
6759	Dmel_CG14895	NP_001262638	K04409	map05170	Human immunodeficiency virus 1 infection
6760	Dmel_CG14895	NP_001262638	K04409	map05205	Proteoglycans in cancer
6761	Dmel_CG14895	NP_001262638	K04409	map05211	Renal cell carcinoma
6762	Dmel_CG14898	NP_650552			
6763	Dmel_CG14899	NP_650553	K13989	map04141	Protein processing in endoplasmic reticulum
6764	Dmel_CG1490	NP_572779	K11838	map03083	Polycomb repressive complex
6765	Dmel_CG1490	NP_572779	K11838	map04068	FoxO signaling pathway
6766	Dmel_CG1490	NP_572779	K11838	map05169	Epstein-Barr virus infection
6767	Dmel_CG1490	NP_572779	K11838	map05203	Viral carcinogenesis
6768	Dmel_CG14900	NP_650554			
6769	Dmel_CG14901	NP_650555	K08471		
6770	Dmel_CG14902	NP_477462	K04397	map04148	Efferocytosis
6771	Dmel_CG14902	NP_477462	K04397	map04210	Apoptosis
6772	Dmel_CG14902	NP_477462	K04397	map04214	Apoptosis - fly
6773	Dmel_CG14902	NP_477462	K04397	map04215	Apoptosis - multiple species
6774	Dmel_CG14902	NP_477462	K04397	map04623	Cytosolic DNA-sensing pathway
6775	Dmel_CG14902	NP_477462	K04397	map04668	TNF signaling pathway
6776	Dmel_CG14902	NP_477462	K04397	map04932	Non-alcoholic fatty liver disease
6777	Dmel_CG14902	NP_477462	K04397	map05010	Alzheimer disease
6778	Dmel_CG14902	NP_477462	K04397	map05022	Pathways of neurodegeneration - multiple diseases
6779	Dmel_CG14902	NP_477462	K04397	map05130	Pathogenic Escherichia coli infection
6780	Dmel_CG14902	NP_477462	K04397	map05132	Salmonella infection
6781	Dmel_CG14902	NP_477462	K04397	map05133	Pertussis
6782	Dmel_CG14902	NP_477462	K04397	map05134	Legionellosis
6783	Dmel_CG14902	NP_477462	K04397	map05200	Pathways in cancer
6784	Dmel_CG14902	NP_477462	K04397	map05417	Lipid and atherosclerosis
6785	Dmel_CG14903	NP_650561	K05969		
6786	Dmel_CG14904	NP_524381			
6787	Dmel_CG14905	NP_650569	K23732		
6788	Dmel_CG14906	NP_650573	K24174		
6789	Dmel_CG14907	NP_650574			
6790	Dmel_CG14909	NP_650578	K02153	map00190	Oxidative phosphorylation
6791	Dmel_CG14909	NP_650578	K02153	map01100	
6792	Dmel_CG14909	NP_650578	K02153	map04145	Phagosome
6793	Dmel_CG14909	NP_650578	K02153	map04721	Synaptic vesicle cycle
6794	Dmel_CG14909	NP_650578	K02153	map04966	Collecting duct acid secretion
6795	Dmel_CG14909	NP_650578	K02153	map05110	Vibrio cholerae infection
6796	Dmel_CG14909	NP_650578	K02153	map05120	Epithelial cell signaling in Helicobacter pylori infection
6797	Dmel_CG14909	NP_650578	K02153	map05165	Human papillomavirus infection
6798	Dmel_CG14909	NP_650578	K02153	map05323	Rheumatoid arthritis
6799	Dmel_CG14913	NP_001097146			
6800	Dmel_CG14915	NP_609482			
6801	Dmel_CG14916	NP_523543	K08471		
6802	Dmel_CG14919	NP_001162948			
6803	Dmel_CG1492	NP_001303553	K18592	map00430	Taurine and hypotaurine metabolism
6804	Dmel_CG1492	NP_001303553	K18592	map00460	Cyanoamino acid metabolism
6805	Dmel_CG1492	NP_001303553	K18592	map00480	Glutathione metabolism
6806	Dmel_CG1492	NP_001303553	K18592	map00590	Arachidonic acid metabolism
6807	Dmel_CG1492	NP_001303553	K18592	map01100	
6808	Dmel_CG14920	NP_001285830			
6809	Dmel_CG14921	NP_609491	K19758		
6810	Dmel_CG14925	NP_609501			
6811	Dmel_CG14926	NP_001285841			
6812	Dmel_CG14928	NP_609504			
6813	Dmel_CG14929	NP_001260386			
6814	Dmel_CG14930	NP_609508			
6815	Dmel_CG14931	NP_001260389			
6816	Dmel_CG14932	NP_001162956			
6817	Dmel_CG14933	NP_001285852			
6818	Dmel_CG14934	NP_609522	K01187	map00052	Galactose metabolism
6819	Dmel_CG14934	NP_609522	K01187	map00500	Starch and sucrose metabolism
6820	Dmel_CG14934	NP_609522	K01187	map01100	
6821	Dmel_CG14934	NP_609522	K01187	map01110	Biosynthesis of secondary metabolites
6822	Dmel_CG14935	NP_001188791	K01187	map00052	Galactose metabolism
6823	Dmel_CG14935	NP_001188791	K01187	map00500	Starch and sucrose metabolism
6824	Dmel_CG14935	NP_001188791	K01187	map01100	
6825	Dmel_CG14935	NP_001188791	K01187	map01110	Biosynthesis of secondary metabolites
6826	Dmel_CG14936	NP_523552			
6827	Dmel_CG14937	NP_609518			
6828	Dmel_CG14938	NP_001245993			
6829	Dmel_CG14939	NP_001260394	K27905		
6830	Dmel_CG1494	NP_001259763	K05643	map02010	ABC transporters
6831	Dmel_CG14941	NP_477431	K11462	map03083	Polycomb repressive complex
6832	Dmel_CG14945	NP_609541			
6833	Dmel_CG14946	NP_001033900	K15734	map00830	Retinol metabolism
6834	Dmel_CG14946	NP_001033900	K15734	map01100	
6835	Dmel_CG14946	NP_001033900	K15734	map01240	Biosynthesis of cofactors
6836	Dmel_CG14947	NP_609546			
6837	Dmel_CG14948	NP_573102			
6838	Dmel_CG14949	NP_647734			
6839	Dmel_CG1495	NP_524622	K08794	map04020	Calcium signaling pathway
6840	Dmel_CG1495	NP_524622	K08794	map04921	Oxytocin signaling pathway
6841	Dmel_CG1495	NP_524622	K08794	map04925	Aldosterone synthesis and secretion
6842	Dmel_CG1495	NP_524622	K08794	map05214	Glioma
6843	Dmel_CG14957	NP_647781			
6844	Dmel_CG14958	NP_647782			
6845	Dmel_CG14959	NP_647796			
6846	Dmel_CG14960	NP_647797			
6847	Dmel_CG14961	NP_647808			
6848	Dmel_CG14962	NP_001261357	K27895		
6849	Dmel_CG14963	NP_647778			
6850	Dmel_CG14964	NP_647779	K12567	map04820	Cytoskeleton in muscle cells
6851	Dmel_CG14964	NP_647779	K12567	map05410	Hypertrophic cardiomyopathy
6852	Dmel_CG14964	NP_647779	K12567	map05414	Dilated cardiomyopathy
6853	Dmel_CG14965	NP_647783			
6854	Dmel_CG14966	NP_647784	K09131		
6855	Dmel_CG14967	NP_001303402	K27918		
6856	Dmel_CG14968	NP_647800			
6857	Dmel_CG14969	NP_647809	K23863		
6858	Dmel_CG14971	NP_647817	K15280		
6859	Dmel_CG14974	NP_001303361			
6860	Dmel_CG14975	NP_995993			
6861	Dmel_CG14977	NP_647834	K20399	map04150	mTOR signaling pathway
6862	Dmel_CG14979	NP_001137883	K08471		
6863	Dmel_CG14980	NP_647835	K27045	map04137	Mitophagy - animal
6864	Dmel_CG14981	NP_001261384			
6865	Dmel_CG14982	NP_001261385			
6866	Dmel_CG14983	NP_647843			
6867	Dmel_CG14984	NP_001261386			
6868	Dmel_CG14985	NP_001246608			
6869	Dmel_CG14987	NP_001027105	K08471		
6870	Dmel_CG14989	NP_001246611			
6871	Dmel_CG1499	NP_651871			
6872	Dmel_CG14990	NP_647856			
6873	Dmel_CG14991	NP_647858	K17083		
6874	Dmel_CG14992	NP_647859	K08252		
6875	Dmel_CG14993	NP_524830	K01555	map00350	Tyrosine metabolism
6876	Dmel_CG14993	NP_524830	K01555	map00643	Styrene degradation
6877	Dmel_CG14993	NP_524830	K01555	map01100	
6878	Dmel_CG14993	NP_524830	K01555	map01120	Microbial metabolism in diverse environments
6879	Dmel_CG14994	NP_001261396	K01580	map00250	Alanine, aspartate and glutamate metabolism
6880	Dmel_CG14994	NP_001261396	K01580	map00410	beta-Alanine metabolism
6881	Dmel_CG14994	NP_001261396	K01580	map00430	Taurine and hypotaurine metabolism
6882	Dmel_CG14994	NP_001261396	K01580	map00650	Butanoate metabolism
6883	Dmel_CG14994	NP_001261396	K01580	map01100	
6884	Dmel_CG14994	NP_001261396	K01580	map01110	Biosynthesis of secondary metabolites
6885	Dmel_CG14994	NP_001261396	K01580	map01120	Microbial metabolism in diverse environments
6886	Dmel_CG14994	NP_001261396	K01580	map02024	Quorum sensing
6887	Dmel_CG14994	NP_001261396	K01580	map04727	GABAergic synapse
6888	Dmel_CG14994	NP_001261396	K01580	map04940	Type I diabetes mellitus
6889	Dmel_CG14995	NP_001163342	K23456		
6890	Dmel_CG14996	NP_001261398	K20526		
6891	Dmel_CG14997	NP_647877	K22470	map00920	Sulfur metabolism
6892	Dmel_CG14997	NP_647877	K22470	map01100	
6893	Dmel_CG14997	NP_647877	K22470	map01120	Microbial metabolism in diverse environments
6894	Dmel_CG14998	NP_001097498	K16806		
6895	Dmel_CG14999	NP_523915	K10755	map03030	DNA replication
6896	Dmel_CG14999	NP_523915	K10755	map03410	Base excision repair
6897	Dmel_CG14999	NP_523915	K10755	map03420	Nucleotide excision repair
6898	Dmel_CG14999	NP_523915	K10755	map03430	Mismatch repair
6899	Dmel_CG1500	NP_001096961			
6900	Dmel_CG15002	NP_523919			
6901	Dmel_CG15003	NP_647866			
6902	Dmel_CG15004	NP_001163345			
6903	Dmel_CG15005	NP_647870			
6904	Dmel_CG15006	NP_647872			
6905	Dmel_CG15007	NP_647873			
6906	Dmel_CG15008	NP_647874			
6907	Dmel_CG15009	NP_728961			
6908	Dmel_CG1501	NP_001285512			
6909	Dmel_CG15010	NP_523922	K10260	map04120	Ubiquitin mediated proteolysis
6910	Dmel_CG15011	NP_647879	K15683		
6911	Dmel_CG15012	NP_001163347			
6912	Dmel_CG15013	NP_647890			
6913	Dmel_CG15014	NP_647892	K06963		
6914	Dmel_CG15015	NP_001097501	K20121	map05131	Shigellosis
6915	Dmel_CG15016	NP_001246623	K02990	map03010	Ribosome
6916	Dmel_CG15019	NP_001097502			
6917	Dmel_CG1502	NP_511135	K25743		
6918	Dmel_CG15020	NP_647901			
6919	Dmel_CG15021	NP_647902			
6920	Dmel_CG15022	NP_647905			
6921	Dmel_CG15023	NP_001261416			
6922	Dmel_CG15024	NP_652336			
6923	Dmel_CG15025	NP_650810			
6924	Dmel_CG15027	NP_572999	K14860		
6925	Dmel_CG1503	NP_001285511	K08597		
6926	Dmel_CG15031	NP_573012	K13199		
6927	Dmel_CG15033	NP_572395			
6928	Dmel_CG15034	NP_001284980			
6929	Dmel_CG15035	NP_572396	K17508		
6930	Dmel_CG15036	NP_652530			
6931	Dmel_CG1504	NP_001259742			
6932	Dmel_CG15040	NP_573311			
6933	Dmel_CG15042	NP_573308			
6934	Dmel_CG15043	NP_001285405			
6935	Dmel_CG15044	NP_573299			
6936	Dmel_CG15046	NP_573298			
6937	Dmel_CG15047	NP_573309			
6938	Dmel_CG1505	NP_001259479			
6939	Dmel_CG15056	NP_573291			
6940	Dmel_CG15059	NP_573278			
6941	Dmel_CG1506	NP_001014496	K08043	map00230	Purine metabolism
6942	Dmel_CG1506	NP_001014496	K08043	map01100	
6943	Dmel_CG1506	NP_001014496	K08043	map01522	Endocrine resistance
6944	Dmel_CG1506	NP_001014496	K08043	map04015	Rap1 signaling pathway
6945	Dmel_CG1506	NP_001014496	K08043	map04020	Calcium signaling pathway
6946	Dmel_CG1506	NP_001014496	K08043	map04022	cGMP-PKG signaling pathway
6947	Dmel_CG1506	NP_001014496	K08043	map04024	cAMP signaling pathway
6948	Dmel_CG1506	NP_001014496	K08043	map04062	Chemokine signaling pathway
6949	Dmel_CG1506	NP_001014496	K08043	map04072	Phospholipase D signaling pathway
6950	Dmel_CG1506	NP_001014496	K08043	map04114	Oocyte meiosis
6951	Dmel_CG1506	NP_001014496	K08043	map04211	Longevity regulating pathway
6952	Dmel_CG1506	NP_001014496	K08043	map04213	Longevity regulating pathway - multiple species
6953	Dmel_CG1506	NP_001014496	K08043	map04261	Adrenergic signaling in cardiomyocytes
6954	Dmel_CG1506	NP_001014496	K08043	map04270	Vascular smooth muscle contraction
6955	Dmel_CG1506	NP_001014496	K08043	map04371	Apelin signaling pathway
6956	Dmel_CG1506	NP_001014496	K08043	map04540	Gap junction
6957	Dmel_CG1506	NP_001014496	K08043	map04611	Platelet activation
6958	Dmel_CG1506	NP_001014496	K08043	map04713	Circadian entrainment
6959	Dmel_CG1506	NP_001014496	K08043	map04714	Thermogenesis
6960	Dmel_CG1506	NP_001014496	K08043	map04723	Retrograde endocannabinoid signaling
6961	Dmel_CG1506	NP_001014496	K08043	map04724	Glutamatergic synapse
6962	Dmel_CG1506	NP_001014496	K08043	map04725	Cholinergic synapse
6963	Dmel_CG1506	NP_001014496	K08043	map04727	GABAergic synapse
6964	Dmel_CG1506	NP_001014496	K08043	map04740	Olfactory transduction
6965	Dmel_CG1506	NP_001014496	K08043	map04750	Inflammatory mediator regulation of TRP channels
6966	Dmel_CG1506	NP_001014496	K08043	map04911	Insulin secretion
6967	Dmel_CG1506	NP_001014496	K08043	map04912	GnRH signaling pathway
6968	Dmel_CG1506	NP_001014496	K08043	map04913	Ovarian steroidogenesis
6969	Dmel_CG1506	NP_001014496	K08043	map04914	Progesterone-mediated oocyte maturation
6970	Dmel_CG1506	NP_001014496	K08043	map04915	Estrogen signaling pathway
6971	Dmel_CG1506	NP_001014496	K08043	map04916	Melanogenesis
6972	Dmel_CG1506	NP_001014496	K08043	map04918	Thyroid hormone synthesis
6973	Dmel_CG1506	NP_001014496	K08043	map04921	Oxytocin signaling pathway
6974	Dmel_CG1506	NP_001014496	K08043	map04923	Regulation of lipolysis in adipocytes
6975	Dmel_CG1506	NP_001014496	K08043	map04925	Aldosterone synthesis and secretion
6976	Dmel_CG1506	NP_001014496	K08043	map04926	Relaxin signaling pathway
6977	Dmel_CG1506	NP_001014496	K08043	map04927	Cortisol synthesis and secretion
6978	Dmel_CG1506	NP_001014496	K08043	map04928	Parathyroid hormone synthesis, secretion and action
6979	Dmel_CG1506	NP_001014496	K08043	map04934	Cushing syndrome
6980	Dmel_CG1506	NP_001014496	K08043	map04935	Growth hormone synthesis, secretion and action
6981	Dmel_CG1506	NP_001014496	K08043	map04962	Vasopressin-regulated water reabsorption
6982	Dmel_CG1506	NP_001014496	K08043	map04970	Salivary secretion
6983	Dmel_CG1506	NP_001014496	K08043	map04971	Gastric acid secretion
6984	Dmel_CG1506	NP_001014496	K08043	map04972	Pancreatic secretion
6985	Dmel_CG1506	NP_001014496	K08043	map04976	Bile secretion
6986	Dmel_CG1506	NP_001014496	K08043	map05032	Morphine addiction
6987	Dmel_CG1506	NP_001014496	K08043	map05110	Vibrio cholerae infection
6988	Dmel_CG1506	NP_001014496	K08043	map05163	Human cytomegalovirus infection
6989	Dmel_CG1506	NP_001014496	K08043	map05166	Human T-cell leukemia virus 1 infection
6990	Dmel_CG1506	NP_001014496	K08043	map05200	Pathways in cancer
6991	Dmel_CG1506	NP_001014496	K08043	map05207	Chemical carcinogenesis - receptor activation
6992	Dmel_CG1506	NP_001014496	K08043	map05414	Dilated cardiomyopathy
6993	Dmel_CG15064	NP_573273			
6994	Dmel_CG15065	NP_652366			
6995	Dmel_CG15066	NP_611318			
6996	Dmel_CG15067	NP_001163193			
6997	Dmel_CG15068	NP_788402			
6998	Dmel_CG1507	NP_001259061	K21772		
6999	Dmel_CG15071	NP_611360			
7000	Dmel_CG15073	NP_001286588			
7001	Dmel_CG15077	NP_611370	K15004		
7002	Dmel_CG15078	NP_001303357			
7003	Dmel_CG15080	NP_611374			
7004	Dmel_CG15081	NP_001097371	K17081	map04137	Mitophagy - animal
7005	Dmel_CG15082	NP_001261080			
7006	Dmel_CG15083	NP_611380			
7007	Dmel_CG15084	NP_611383	K13115		
7008	Dmel_CG15085	NP_523786	K20232	map04013	MAPK signaling pathway - fly
7009	Dmel_CG15087	NP_611363	K20296		
7010	Dmel_CG15088	NP_611364	K05038	map04721	Synaptic vesicle cycle
7011	Dmel_CG15093	NP_001188972	K23146	map00280	Valine, leucine and isoleucine degradation
7012	Dmel_CG15093	NP_001188972	K23146	map00410	beta-Alanine metabolism
7013	Dmel_CG15093	NP_001188972	K23146	map00640	Propanoate metabolism
7014	Dmel_CG15093	NP_001188972	K23146	map01100	
7015	Dmel_CG15093	NP_001188972	K23146	map01200	Carbon metabolism
7016	Dmel_CG15094	NP_611375			
7017	Dmel_CG15095	NP_001286591			
7018	Dmel_CG15096	NP_611376			
