tca	ncbi	ko	pathway	pathname
655096	XP_008200805	K02154	map05110	Vibrio cholerae infection
655096	XP_008200805	K02154	map05120	Epithelial cell signaling in Helicobacter pylori infection
655096	XP_008200805	K02154	map05152	Tuberculosis
655096	XP_008200805	K02154	map05165	Human papillomavirus infection
655096	XP_008200805	K02154	map05323	Rheumatoid arthritis
655097	XP_966701	K12176		
655099	XP_008198624			
655100	NP_001164155	K15292	map04721	Synaptic vesicle cycle
655102	XP_966706			
655103	XP_008199917	K05125		
655104	NP_001107837	K06224	map04341	Hedgehog signaling pathway - fly
655105	XP_015833190	K04392	map04010	MAPK signaling pathway
655105	XP_015833190	K04392	map04013	MAPK signaling pathway - fly
655105	XP_015833190	K04392	map04014	Ras signaling pathway
655105	XP_015833190	K04392	map04015	Rap1 signaling pathway
655105	XP_015833190	K04392	map04024	cAMP signaling pathway
655105	XP_015833190	K04392	map04062	Chemokine signaling pathway
655105	XP_015833190	K04392	map04071	Sphingolipid signaling pathway
655105	XP_015833190	K04392	map04145	Phagosome
655105	XP_015833190	K04392	map04148	Efferocytosis
655105	XP_015833190	K04392	map04151	PI3K-Akt signaling pathway
655105	XP_015833190	K04392	map04310	Wnt signaling pathway
655105	XP_015833190	K04392	map04360	Axon guidance
655105	XP_015833190	K04392	map04361	Axon regeneration
655105	XP_015833190	K04392	map04370	VEGF signaling pathway
655105	XP_015833190	K04392	map04380	Osteoclast differentiation
655105	XP_015833190	K04392	map04510	Focal adhesion
655105	XP_015833190	K04392	map04520	Adherens junction
655105	XP_015833190	K04392	map04530	Tight junction
655105	XP_015833190	K04392	map04613	Neutrophil extracellular trap formation
655105	XP_015833190	K04392	map04620	Toll-like receptor signaling pathway
655105	XP_015833190	K04392	map04650	Natural killer cell mediated cytotoxicity
655105	XP_015833190	K04392	map04662	B cell receptor signaling pathway
655105	XP_015833190	K04392	map04664	Fc epsilon RI signaling pathway
655105	XP_015833190	K04392	map04666	Fc gamma R-mediated phagocytosis
655105	XP_015833190	K04392	map04670	Leukocyte transendothelial migration
655105	XP_015833190	K04392	map04722	Neurotrophin signaling pathway
655105	XP_015833190	K04392	map04810	Regulation of actin cytoskeleton
655105	XP_015833190	K04392	map04932	Non-alcoholic fatty liver disease
655105	XP_015833190	K04392	map04933	AGE-RAGE signaling pathway in diabetic complications
655105	XP_015833190	K04392	map04972	Pancreatic secretion
655105	XP_015833190	K04392	map05014	Amyotrophic lateral sclerosis
655105	XP_015833190	K04392	map05020	Prion disease
655105	XP_015833190	K04392	map05022	Pathways of neurodegeneration - multiple diseases
655105	XP_015833190	K04392	map05100	Bacterial invasion of epithelial cells
655105	XP_015833190	K04392	map05120	Epithelial cell signaling in Helicobacter pylori infection
655105	XP_015833190	K04392	map05130	Pathogenic Escherichia coli infection
655105	XP_015833190	K04392	map05131	Shigellosis
655105	XP_015833190	K04392	map05132	Salmonella infection
655105	XP_015833190	K04392	map05135	Yersinia infection
655105	XP_015833190	K04392	map05163	Human cytomegalovirus infection
655105	XP_015833190	K04392	map05167	Kaposi sarcoma-associated herpesvirus infection
655105	XP_015833190	K04392	map05169	Epstein-Barr virus infection
655105	XP_015833190	K04392	map05170	Human immunodeficiency virus 1 infection
655105	XP_015833190	K04392	map05200	Pathways in cancer
655105	XP_015833190	K04392	map05203	Viral carcinogenesis
655105	XP_015833190	K04392	map05205	Proteoglycans in cancer
655105	XP_015833190	K04392	map05208	Chemical carcinogenesis - reactive oxygen species
655105	XP_015833190	K04392	map05210	Colorectal cancer
655105	XP_015833190	K04392	map05211	Renal cell carcinoma
655105	XP_015833190	K04392	map05212	Pancreatic cancer
655105	XP_015833190	K04392	map05231	Choline metabolism in cancer
655105	XP_015833190	K04392	map05415	Diabetic cardiomyopathy
655105	XP_015833190	K04392	map05416	Viral myocarditis
655105	XP_015833190	K04392	map05417	Lipid and atherosclerosis
655105	XP_015833190	K04392	map05418	Fluid shear stress and atherosclerosis
655106	XP_008190807	K24069		
655107	XP_015833571	K05313		
655108	XP_008191101			
655110	XP_008191194	K18204		
655111	XP_966714	K15890	map00900	Terpenoid backbone biosynthesis
655111	XP_966714	K15890	map00981	Insect hormone biosynthesis
655111	XP_966714	K15890	map01110	Biosynthesis of secondary metabolites
655113	XP_966716	K10578	map04120	Ubiquitin mediated proteolysis
655113	XP_966716	K10578	map04141	Protein processing in endoplasmic reticulum
655113	XP_966716	K10578	map05012	Parkinson disease
655113	XP_966716	K10578	map05022	Pathways of neurodegeneration - multiple diseases
655114	XP_966717	K02202	map03022	Basal transcription factors
655114	XP_966717	K02202	map03420	Nucleotide excision repair
655114	XP_966717	K02202	map04110	Cell cycle
655115	XP_015834055			
655116	XP_008196852	K06272	map03320	PPAR signaling pathway
655116	XP_008196852	K06272	map04360	Axon guidance
655116	XP_008196852	K06272	map04510	Focal adhesion
655116	XP_008196852	K06272	map05100	Bacterial invasion of epithelial cells
655116	XP_008196852	K06272	map05131	Shigellosis
655116	XP_008196852	K06272	map05213	Endometrial cancer
655117	XP_966720			
655118	XP_966721	K06971		
655119	XP_966722	K08336	map04068	FoxO signaling pathway
655119	XP_966722	K08336	map04136	Autophagy - other
655119	XP_966722	K08336	map04138	Autophagy - yeast
655119	XP_966722	K08336	map04140	Autophagy - animal
655119	XP_966722	K08336	map04621	NOD-like receptor signaling pathway
655119	XP_966722	K08336	map04622	RIG-I-like receptor signaling pathway
655119	XP_966722	K08336	map05131	Shigellosis
655120	XP_966723			
655121	XP_008192744	K05657	map02010	ABC transporters
655122	NP_001038092			
655123	XP_015835512			
655124	XP_008193385	K11323		
655127	XP_015835819	K00643	map00260	Glycine, serine and threonine metabolism
655127	XP_015835819	K00643	map00860	Porphyrin metabolism
655127	XP_015835819	K00643	map01100	
655127	XP_015835819	K00643	map01110	Biosynthesis of secondary metabolites
655127	XP_015835819	K00643	map01240	Biosynthesis of cofactors
655128	XP_966730			
655129	XP_015836183			
655130	XP_015835771	K03145		
655131	XP_008194445			
655132	XP_966734	K13886		
655133	XP_008201526	K01047	map00564	Glycerophospholipid metabolism
655133	XP_008201526	K01047	map00565	Ether lipid metabolism
655133	XP_008201526	K01047	map00590	Arachidonic acid metabolism
655133	XP_008201526	K01047	map00591	Linoleic acid metabolism
655133	XP_008201526	K01047	map00592	alpha-Linolenic acid metabolism
655133	XP_008201526	K01047	map01100	
655133	XP_008201526	K01047	map01110	Biosynthesis of secondary metabolites
655133	XP_008201526	K01047	map04014	Ras signaling pathway
655133	XP_008201526	K01047	map04270	Vascular smooth muscle contraction
655133	XP_008201526	K01047	map04972	Pancreatic secretion
655133	XP_008201526	K01047	map04975	Fat digestion and absorption
655134	XP_008195644	K13192		
655135	XP_966737	K05755	map04138	Autophagy - yeast
655135	XP_966737	K05755	map04144	Endocytosis
655135	XP_966737	K05755	map04530	Tight junction
655135	XP_966737	K05755	map04666	Fc gamma R-mediated phagocytosis
655135	XP_966737	K05755	map04810	Regulation of actin cytoskeleton
655135	XP_966737	K05755	map05100	Bacterial invasion of epithelial cells
655135	XP_966737	K05755	map05130	Pathogenic Escherichia coli infection
655135	XP_966737	K05755	map05131	Shigellosis
655135	XP_966737	K05755	map05132	Salmonella infection
655135	XP_966737	K05755	map05135	Yersinia infection
655136	XP_966738	K20190		
655137	XP_008198119			
655138	XP_966740			
655139	XP_008195262	K24174		
655140	XP_015836972			
655141	NP_001076809	K04280	map04080	Neuroactive ligand-receptor interaction
655141	NP_001076809	K04280	map04912	GnRH signaling pathway
655142	XP_015837877	K05701	map04520	Adherens junction
655142	XP_015837877	K05701	map04530	Tight junction
655142	XP_015837877	K05701	map04540	Gap junction
655142	XP_015837877	K05701	map05110	Vibrio cholerae infection
655142	XP_015837877	K05701	map05120	Epithelial cell signaling in Helicobacter pylori infection
655142	XP_015837877	K05701	map05130	Pathogenic Escherichia coli infection
655144	XP_966746	K03035	map03050	Proteasome
655144	XP_966746	K03035	map05010	Alzheimer disease
655144	XP_966746	K03035	map05012	Parkinson disease
655144	XP_966746	K03035	map05014	Amyotrophic lateral sclerosis
655144	XP_966746	K03035	map05016	Huntington disease
655144	XP_966746	K03035	map05017	Spinocerebellar ataxia
655144	XP_966746	K03035	map05020	Prion disease
655144	XP_966746	K03035	map05022	Pathways of neurodegeneration - multiple diseases
655144	XP_966746	K03035	map05169	Epstein-Barr virus infection
655145	XP_966747	K14851		
655146	XP_008197036	K19716		
655147	XP_008196908			
655149	XP_966751			
655151	XP_966752	K17346		
655152	XP_008195877	K07944		
655153	XP_008197947			
655154	NP_001161900			
655155	XP_966756	K20408	map04150	mTOR signaling pathway
655156	XP_008199077	K14411	map03015	mRNA surveillance pathway
655157	NP_001153712	K03781	map00380	Tryptophan metabolism
655157	NP_001153712	K03781	map00630	Glyoxylate and dicarboxylate metabolism
655157	NP_001153712	K03781	map01100	
655157	NP_001153712	K03781	map01110	Biosynthesis of secondary metabolites
655157	NP_001153712	K03781	map01200	Carbon metabolism
655157	NP_001153712	K03781	map04011	MAPK signaling pathway - yeast
655157	NP_001153712	K03781	map04016	MAPK signaling pathway - plant
655157	NP_001153712	K03781	map04068	FoxO signaling pathway
655157	NP_001153712	K03781	map04146	Peroxisome
655157	NP_001153712	K03781	map04211	Longevity regulating pathway
655157	NP_001153712	K03781	map04212	Longevity regulating pathway - worm
655157	NP_001153712	K03781	map04213	Longevity regulating pathway - multiple species
655157	NP_001153712	K03781	map05014	Amyotrophic lateral sclerosis
655157	NP_001153712	K03781	map05022	Pathways of neurodegeneration - multiple diseases
655157	NP_001153712	K03781	map05208	Chemical carcinogenesis - reactive oxygen species
655158	XP_015833827	K10771	map03410	Base excision repair
655160	XP_008199827			
655161	XP_966762			
655162	XP_966763	K18400		
655163	XP_966764	K12668	map00510	N-Glycan biosynthesis
655163	XP_966764	K12668	map00513	Various types of N-glycan biosynthesis
655163	XP_966764	K12668	map01100	
655163	XP_966764	K12668	map04141	Protein processing in endoplasmic reticulum
655167	XP_966329			
655168	XP_008194926	K13885	map03272	Virion - Hepatitis viruses
655168	XP_008194926	K13885	map04145	Phagosome
655168	XP_008194926	K13885	map04913	Ovarian steroidogenesis
655168	XP_008194926	K13885	map04925	Aldosterone synthesis and secretion
655168	XP_008194926	K13885	map04927	Cortisol synthesis and secretion
655168	XP_008194926	K13885	map04934	Cushing syndrome
655168	XP_008194926	K13885	map04975	Fat digestion and absorption
655168	XP_008194926	K13885	map04976	Bile secretion
655168	XP_008194926	K13885	map04977	Vitamin digestion and absorption
655168	XP_008194926	K13885	map04979	Cholesterol metabolism
655168	XP_008194926	K13885	map05160	Hepatitis C
655169	XP_966332			
655170	XP_008195264			
655171	XP_015836789			
655172	XP_008200622			
655173	XP_008200625	K20776	map03440	Homologous recombination
655174	XP_966787	K00799	map00480	Glutathione metabolism
655174	XP_966787	K00799	map00980	Metabolism of xenobiotics by cytochrome P450
655174	XP_966787	K00799	map00982	Drug metabolism - cytochrome P450
655174	XP_966787	K00799	map00983	Drug metabolism - other enzymes
655174	XP_966787	K00799	map01100	
655174	XP_966787	K00799	map01524	Platinum drug resistance
655174	XP_966787	K00799	map04212	Longevity regulating pathway - worm
655174	XP_966787	K00799	map05200	Pathways in cancer
655174	XP_966787	K00799	map05204	Chemical carcinogenesis - DNA adducts
655174	XP_966787	K00799	map05207	Chemical carcinogenesis - receptor activation
655174	XP_966787	K00799	map05208	Chemical carcinogenesis - reactive oxygen species
655174	XP_966787	K00799	map05225	Hepatocellular carcinoma
655174	XP_966787	K00799	map05418	Fluid shear stress and atherosclerosis
655175	XP_966788	K13115		
655176	XP_966789	K10743	map03030	DNA replication
655178	XP_966790	K22984		
655179	XP_966791	K14554	map03008	Ribosome biogenesis in eukaryotes
655180	XP_008201481	K20403	map04150	mTOR signaling pathway
655181	XP_966793	K09529		
655182	XP_008190635	K04209		
655183	NP_001161320			
655185	XP_966796	K14996		
655186	XP_975978	K26536		
655187	XP_015833723	K18204		
655188	XP_015833849	K10408	map04814	Motor proteins
655188	XP_015833849	K10408	map05014	Amyotrophic lateral sclerosis
655188	XP_015833849	K10408	map05016	Huntington disease
655188	XP_015833849	K10408	map05022	Pathways of neurodegeneration - multiple diseases
655190	XP_015833984	K10405	map04814	Motor proteins
655191	XP_015834095	K01411		
655192	XP_015834094	K08790		
655193	XP_966802			
655194	XP_966803	K24685		
655195	XP_015834602	K10407	map04814	Motor proteins
655195	XP_015834602	K10407	map05010	Alzheimer disease
655195	XP_015834602	K10407	map05012	Parkinson disease
655195	XP_015834602	K10407	map05014	Amyotrophic lateral sclerosis
655195	XP_015834602	K10407	map05016	Huntington disease
655195	XP_015834602	K10407	map05020	Prion disease
655195	XP_015834602	K10407	map05022	Pathways of neurodegeneration - multiple diseases
655195	XP_015834602	K10407	map05132	Salmonella infection
655196	XP_966805			
655197	XP_015834355	K01904	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
655197	XP_015834355	K01904	map00940	Phenylpropanoid biosynthesis
655197	XP_015834355	K01904	map01100	
655197	XP_015834355	K01904	map01110	Biosynthesis of secondary metabolites
655198	XP_015835408	K12591	map03018	RNA degradation
655199	XP_966808			
655201	XP_966810			
655202	XP_966811	K14863		
655204	XP_008194048			
655205	XP_966814			
655207	XP_966816	K07752		
655208	XP_966817	K07277	map04137	Mitophagy - animal
655209	XP_008194864	K20283		
655210	XP_966819	K05497	map04060	Cytokine-cytokine receptor interaction
655211	XP_966820	K01904	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
655211	XP_966820	K01904	map00940	Phenylpropanoid biosynthesis
655211	XP_966820	K01904	map01100	
655211	XP_966820	K01904	map01110	Biosynthesis of secondary metabolites
655212	XP_008195078	K09574	map04137	Mitophagy - animal
655213	XP_008195261	K01784	map00052	Galactose metabolism
655213	XP_008195261	K01784	map00520	Amino sugar and nucleotide sugar metabolism
655213	XP_008195261	K01784	map00541	O-Antigen nucleotide sugar biosynthesis
655213	XP_008195261	K01784	map01100	
655213	XP_008195261	K01784	map01250	Biosynthesis of nucleotide sugars
655214	XP_966823			
655215	XP_966824	K05323		
655216	XP_966825			
655217	XP_015837975	K20840		
655218	XP_008196695	K06640	map03460	Fanconi anemia pathway
655218	XP_008196695	K06640	map04110	Cell cycle
655218	XP_008196695	K06640	map04115	p53 signaling pathway
655218	XP_008196695	K06640	map04214	Apoptosis - fly
655218	XP_008196695	K06640	map04218	Cellular senescence
655218	XP_008196695	K06640	map05165	Human papillomavirus infection
655218	XP_008196695	K06640	map05166	Human T-cell leukemia virus 1 infection
655218	XP_008196695	K06640	map05170	Human immunodeficiency virus 1 infection
655219	XP_015838142	K11844	map03083	Polycomb repressive complex
655220	XP_966829	K10756	map03030	DNA replication
655220	XP_966829	K10756	map03410	Base excision repair
655220	XP_966829	K10756	map03420	Nucleotide excision repair
655220	XP_966829	K10756	map03430	Mismatch repair
655221	XP_008197352			
655222	XP_015838549			
655224	XP_008195892			
655225	XP_966833	K04371	map01521	EGFR tyrosine kinase inhibitor resistance
655225	XP_966833	K04371	map01522	Endocrine resistance
655225	XP_966833	K04371	map01524	Platinum drug resistance
655225	XP_966833	K04371	map04010	MAPK signaling pathway
655225	XP_966833	K04371	map04011	MAPK signaling pathway - yeast
655225	XP_966833	K04371	map04012	ErbB signaling pathway
655225	XP_966833	K04371	map04013	MAPK signaling pathway - fly
655225	XP_966833	K04371	map04014	Ras signaling pathway
655225	XP_966833	K04371	map04015	Rap1 signaling pathway
655225	XP_966833	K04371	map04022	cGMP-PKG signaling pathway
655225	XP_966833	K04371	map04024	cAMP signaling pathway
655225	XP_966833	K04371	map04062	Chemokine signaling pathway
655225	XP_966833	K04371	map04066	HIF-1 signaling pathway
655225	XP_966833	K04371	map04068	FoxO signaling pathway
655225	XP_966833	K04371	map04071	Sphingolipid signaling pathway
655225	XP_966833	K04371	map04072	Phospholipase D signaling pathway
655225	XP_966833	K04371	map04111	Cell cycle - yeast
655225	XP_966833	K04371	map04114	Oocyte meiosis
655225	XP_966833	K04371	map04140	Autophagy - animal
655225	XP_966833	K04371	map04148	Efferocytosis
655225	XP_966833	K04371	map04150	mTOR signaling pathway
655225	XP_966833	K04371	map04151	PI3K-Akt signaling pathway
655225	XP_966833	K04371	map04210	Apoptosis
655225	XP_966833	K04371	map04214	Apoptosis - fly
655225	XP_966833	K04371	map04218	Cellular senescence
655225	XP_966833	K04371	map04261	Adrenergic signaling in cardiomyocytes
655225	XP_966833	K04371	map04270	Vascular smooth muscle contraction
655225	XP_966833	K04371	map04320	Dorso-ventral axis formation
655225	XP_966833	K04371	map04350	TGF-beta signaling pathway
655225	XP_966833	K04371	map04360	Axon guidance
655225	XP_966833	K04371	map04370	VEGF signaling pathway
655225	XP_966833	K04371	map04371	Apelin signaling pathway
655225	XP_966833	K04371	map04380	Osteoclast differentiation
655225	XP_966833	K04371	map04510	Focal adhesion
655225	XP_966833	K04371	map04520	Adherens junction
655225	XP_966833	K04371	map04540	Gap junction
655225	XP_966833	K04371	map04550	Signaling pathways regulating pluripotency of stem cells
655225	XP_966833	K04371	map04611	Platelet activation
655225	XP_966833	K04371	map04613	Neutrophil extracellular trap formation
655225	XP_966833	K04371	map04620	Toll-like receptor signaling pathway
655225	XP_966833	K04371	map04621	NOD-like receptor signaling pathway
655225	XP_966833	K04371	map04625	C-type lectin receptor signaling pathway
655225	XP_966833	K04371	map04650	Natural killer cell mediated cytotoxicity
655225	XP_966833	K04371	map04657	IL-17 signaling pathway
655225	XP_966833	K04371	map04658	Th1 and Th2 cell differentiation
655225	XP_966833	K04371	map04659	Th17 cell differentiation
655225	XP_966833	K04371	map04660	T cell receptor signaling pathway
655225	XP_966833	K04371	map04662	B cell receptor signaling pathway
655225	XP_966833	K04371	map04664	Fc epsilon RI signaling pathway
655225	XP_966833	K04371	map04666	Fc gamma R-mediated phagocytosis
655225	XP_966833	K04371	map04668	TNF signaling pathway
655225	XP_966833	K04371	map04713	Circadian entrainment
655225	XP_966833	K04371	map04720	Long-term potentiation
655225	XP_966833	K04371	map04722	Neurotrophin signaling pathway
655225	XP_966833	K04371	map04723	Retrograde endocannabinoid signaling
655225	XP_966833	K04371	map04724	Glutamatergic synapse
655225	XP_966833	K04371	map04725	Cholinergic synapse
655225	XP_966833	K04371	map04726	Serotonergic synapse
655225	XP_966833	K04371	map04730	Long-term depression
655225	XP_966833	K04371	map04810	Regulation of actin cytoskeleton
655225	XP_966833	K04371	map04910	Insulin signaling pathway
655225	XP_966833	K04371	map04912	GnRH signaling pathway
655225	XP_966833	K04371	map04914	Progesterone-mediated oocyte maturation
655225	XP_966833	K04371	map04915	Estrogen signaling pathway
655225	XP_966833	K04371	map04916	Melanogenesis
655225	XP_966833	K04371	map04917	Prolactin signaling pathway
655225	XP_966833	K04371	map04919	Thyroid hormone signaling pathway
655225	XP_966833	K04371	map04921	Oxytocin signaling pathway
655225	XP_966833	K04371	map04926	Relaxin signaling pathway
655225	XP_966833	K04371	map04928	Parathyroid hormone synthesis, secretion and action
655225	XP_966833	K04371	map04929	GnRH secretion
655225	XP_966833	K04371	map04930	Type II diabetes mellitus
655225	XP_966833	K04371	map04933	AGE-RAGE signaling pathway in diabetic complications
655225	XP_966833	K04371	map04934	Cushing syndrome
655225	XP_966833	K04371	map04935	Growth hormone synthesis, secretion and action
655225	XP_966833	K04371	map04960	Aldosterone-regulated sodium reabsorption
655225	XP_966833	K04371	map05010	Alzheimer disease
655225	XP_966833	K04371	map05020	Prion disease
655225	XP_966833	K04371	map05022	Pathways of neurodegeneration - multiple diseases
655225	XP_966833	K04371	map05034	Alcoholism
655225	XP_966833	K04371	map05130	Pathogenic Escherichia coli infection
655225	XP_966833	K04371	map05131	Shigellosis
655225	XP_966833	K04371	map05132	Salmonella infection
655225	XP_966833	K04371	map05133	Pertussis
655225	XP_966833	K04371	map05135	Yersinia infection
655225	XP_966833	K04371	map05140	Leishmaniasis
655225	XP_966833	K04371	map05142	Chagas disease
655225	XP_966833	K04371	map05145	Toxoplasmosis
655225	XP_966833	K04371	map05152	Tuberculosis
655225	XP_966833	K04371	map05160	Hepatitis C
655225	XP_966833	K04371	map05161	Hepatitis B
655225	XP_966833	K04371	map05163	Human cytomegalovirus infection
655225	XP_966833	K04371	map05164	Influenza A
655225	XP_966833	K04371	map05165	Human papillomavirus infection
655225	XP_966833	K04371	map05166	Human T-cell leukemia virus 1 infection
655225	XP_966833	K04371	map05167	Kaposi sarcoma-associated herpesvirus infection
655225	XP_966833	K04371	map05170	Human immunodeficiency virus 1 infection
655225	XP_966833	K04371	map05171	Coronavirus disease - COVID-19
655225	XP_966833	K04371	map05200	Pathways in cancer
655225	XP_966833	K04371	map05203	Viral carcinogenesis
655225	XP_966833	K04371	map05205	Proteoglycans in cancer
655225	XP_966833	K04371	map05206	MicroRNAs in cancer
655225	XP_966833	K04371	map05207	Chemical carcinogenesis - receptor activation
655225	XP_966833	K04371	map05208	Chemical carcinogenesis - reactive oxygen species
655225	XP_966833	K04371	map05210	Colorectal cancer
655225	XP_966833	K04371	map05211	Renal cell carcinoma
655225	XP_966833	K04371	map05212	Pancreatic cancer
655225	XP_966833	K04371	map05213	Endometrial cancer
655225	XP_966833	K04371	map05214	Glioma
655225	XP_966833	K04371	map05215	Prostate cancer
655225	XP_966833	K04371	map05216	Thyroid cancer
655225	XP_966833	K04371	map05218	Melanoma
655225	XP_966833	K04371	map05219	Bladder cancer
655225	XP_966833	K04371	map05220	Chronic myeloid leukemia
655225	XP_966833	K04371	map05221	Acute myeloid leukemia
655225	XP_966833	K04371	map05223	Non-small cell lung cancer
655225	XP_966833	K04371	map05224	Breast cancer
655225	XP_966833	K04371	map05225	Hepatocellular carcinoma
655225	XP_966833	K04371	map05226	Gastric cancer
655225	XP_966833	K04371	map05230	Central carbon metabolism in cancer
655225	XP_966833	K04371	map05231	Choline metabolism in cancer
655225	XP_966833	K04371	map05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
655225	XP_966833	K04371	map05417	Lipid and atherosclerosis
655227	XP_008199086	K10295		
655229	XP_966837			
655232	XP_008190990	K04599		
655233	XP_015838950			
655234	NP_001164098	K03283	map03040	Spliceosome
655234	NP_001164098	K03283	map04010	MAPK signaling pathway
655234	NP_001164098	K03283	map04141	Protein processing in endoplasmic reticulum
655234	NP_001164098	K03283	map04144	Endocytosis
655234	NP_001164098	K03283	map04213	Longevity regulating pathway - multiple species
655234	NP_001164098	K03283	map04612	Antigen processing and presentation
655234	NP_001164098	K03283	map04915	Estrogen signaling pathway
655234	NP_001164098	K03283	map05020	Prion disease
655234	NP_001164098	K03283	map05134	Legionellosis
655234	NP_001164098	K03283	map05145	Toxoplasmosis
655234	NP_001164098	K03283	map05162	Measles
655234	NP_001164098	K03283	map05417	Lipid and atherosclerosis
655235	NP_001280527	K06094	map04390	Hippo signaling pathway
655235	NP_001280527	K06094	map04391	Hippo signaling pathway - fly
655235	NP_001280527	K06094	map04530	Tight junction
655235	NP_001280527	K06094	map05165	Human papillomavirus infection
655236	XP_966844	K20316		
655238	XP_966846	K00597	map04980	Cobalamin transport and metabolism
655239	XP_966847	K17108	map00511	Other glycan degradation
655239	XP_966847	K17108	map00600	Sphingolipid metabolism
655239	XP_966847	K17108	map01100	
655240	XP_008200120			
655241	XP_008193753	K15076		
655244	XP_015836055	K22531		
655245	XP_966433			
655247	XP_001808932	K26404		
655250	XP_015838193	K00799	map00480	Glutathione metabolism
655250	XP_015838193	K00799	map00980	Metabolism of xenobiotics by cytochrome P450
655250	XP_015838193	K00799	map00982	Drug metabolism - cytochrome P450
655250	XP_015838193	K00799	map00983	Drug metabolism - other enzymes
655250	XP_015838193	K00799	map01100	
655250	XP_015838193	K00799	map01524	Platinum drug resistance
655250	XP_015838193	K00799	map04212	Longevity regulating pathway - worm
655250	XP_015838193	K00799	map05200	Pathways in cancer
655250	XP_015838193	K00799	map05204	Chemical carcinogenesis - DNA adducts
655250	XP_015838193	K00799	map05207	Chemical carcinogenesis - receptor activation
655250	XP_015838193	K00799	map05208	Chemical carcinogenesis - reactive oxygen species
655250	XP_015838193	K00799	map05225	Hepatocellular carcinoma
655250	XP_015838193	K00799	map05418	Fluid shear stress and atherosclerosis
655252	XP_008198744	K00816	map00270	Cysteine and methionine metabolism
655252	XP_008198744	K00816	map00380	Tryptophan metabolism
655252	XP_008198744	K00816	map00450	Selenocompound metabolism
655252	XP_008198744	K00816	map01100	
655252	XP_008198744	K00816	map01110	Biosynthesis of secondary metabolites
655253	XP_008198790	K24223		
655254	XP_966876			
655255	XP_008195282	K02604	map04110	Cell cycle
655255	XP_008195282	K02604	map04111	Cell cycle - yeast
655255	XP_008195282	K02604	map04113	Meiosis - yeast
655256	XP_966878	K14825		
655257	XP_966879	K02838		
655258	XP_966880	K13280	map03060	Protein export
655260	XP_015833177	K25572		
655262	XP_015833580	K05313		
655263	XP_008191103	K08858		
655264	XP_966886	K05609		
655265	NP_001308588	K04962	map04020	Calcium signaling pathway
655265	NP_001308588	K04962	map04024	cAMP signaling pathway
655265	NP_001308588	K04962	map04260	Cardiac muscle contraction
655265	NP_001308588	K04962	map04261	Adrenergic signaling in cardiomyocytes
655265	NP_001308588	K04962	map04371	Apelin signaling pathway
655265	NP_001308588	K04962	map04713	Circadian entrainment
655265	NP_001308588	K04962	map04911	Insulin secretion
655265	NP_001308588	K04962	map04921	Oxytocin signaling pathway
655265	NP_001308588	K04962	map04972	Pancreatic secretion
655265	NP_001308588	K04962	map05020	Prion disease
655265	NP_001308588	K04962	map05022	Pathways of neurodegeneration - multiple diseases
655265	NP_001308588	K04962	map05410	Hypertrophic cardiomyopathy
655265	NP_001308588	K04962	map05412	Arrhythmogenic right ventricular cardiomyopathy
655265	NP_001308588	K04962	map05414	Dilated cardiomyopathy
655265	NP_001308588	K04962	map05415	Diabetic cardiomyopathy
655266	XP_015833937	K04515	map04012	ErbB signaling pathway
655266	XP_015833937	K04515	map04020	Calcium signaling pathway
655266	XP_015833937	K04515	map04024	cAMP signaling pathway
655266	XP_015833937	K04515	map04066	HIF-1 signaling pathway
655266	XP_015833937	K04515	map04114	Oocyte meiosis
655266	XP_015833937	K04515	map04148	Efferocytosis
655266	XP_015833937	K04515	map04217	Necroptosis
655266	XP_015833937	K04515	map04261	Adrenergic signaling in cardiomyocytes
655266	XP_015833937	K04515	map04310	Wnt signaling pathway
655266	XP_015833937	K04515	map04360	Axon guidance
655266	XP_015833937	K04515	map04713	Circadian entrainment
655266	XP_015833937	K04515	map04720	Long-term potentiation
655266	XP_015833937	K04515	map04722	Neurotrophin signaling pathway
655266	XP_015833937	K04515	map04725	Cholinergic synapse
655266	XP_015833937	K04515	map04728	Dopaminergic synapse
655266	XP_015833937	K04515	map04740	Olfactory transduction
655266	XP_015833937	K04515	map04745	Phototransduction - fly
655266	XP_015833937	K04515	map04750	Inflammatory mediator regulation of TRP channels
655266	XP_015833937	K04515	map04911	Insulin secretion
655266	XP_015833937	K04515	map04912	GnRH signaling pathway
655266	XP_015833937	K04515	map04916	Melanogenesis
655266	XP_015833937	K04515	map04921	Oxytocin signaling pathway
655266	XP_015833937	K04515	map04922	Glucagon signaling pathway
655266	XP_015833937	K04515	map04925	Aldosterone synthesis and secretion
655266	XP_015833937	K04515	map04934	Cushing syndrome
655266	XP_015833937	K04515	map04971	Gastric acid secretion
655266	XP_015833937	K04515	map05012	Parkinson disease
655266	XP_015833937	K04515	map05022	Pathways of neurodegeneration - multiple diseases
655266	XP_015833937	K04515	map05031	Amphetamine addiction
655266	XP_015833937	K04515	map05152	Tuberculosis
655266	XP_015833937	K04515	map05200	Pathways in cancer
655266	XP_015833937	K04515	map05205	Proteoglycans in cancer
655266	XP_015833937	K04515	map05214	Glioma
655266	XP_015833937	K04515	map05415	Diabetic cardiomyopathy
